#datumDate,datumId,datumValue
2022-03-01,BOND/PRICE/AS0644417,0.9770000000
2022-03-01,BOND/PRICE/EJ7706660,0.9936500000
2022-03-01,BOND/PRICE/ZR5330686,0.9798400000
2022-03-01,DISCOUNT/RATE/USD/USD1D/10M,0.9810200000
2022-03-01,DISCOUNT/RATE/USD/USD1D/10Y,0.7622900000
2022-03-01,DISCOUNT/RATE/USD/USD1D/11M,0.9786600000
2022-03-01,DISCOUNT/RATE/USD/USD1D/11Y,0.7402900000
2022-03-01,DISCOUNT/RATE/USD/USD1D/12M,0.9760100000
2022-03-01,DISCOUNT/RATE/USD/USD1D/12Y,0.7191600000
2022-03-01,DISCOUNT/RATE/USD/USD1D/13M,0.9733200000
2022-03-01,DISCOUNT/RATE/USD/USD1D/13Y,0.6988800000
2022-03-01,DISCOUNT/RATE/USD/USD1D/14M,0.9708000000
2022-03-01,DISCOUNT/RATE/USD/USD1D/15M,0.9681800000
2022-03-01,DISCOUNT/RATE/USD/USD1D/15Y,0.6606700000
2022-03-01,DISCOUNT/RATE/USD/USD1D/16M,0.9655800000
2022-03-01,DISCOUNT/RATE/USD/USD1D/17M,0.9631200000
2022-03-01,DISCOUNT/RATE/USD/USD1D/17Y,0.6251000000
2022-03-01,DISCOUNT/RATE/USD/USD1D/18M,0.9606900000
2022-03-01,DISCOUNT/RATE/USD/USD1D/1D,0.9999800000
2022-03-01,DISCOUNT/RATE/USD/USD1D/1M,0.9991000000
2022-03-01,DISCOUNT/RATE/USD/USD1D/1W,0.9998400000
2022-03-01,DISCOUNT/RATE/USD/USD1D/20Y,0.5777400000
2022-03-01,DISCOUNT/RATE/USD/USD1D/21M,0.9535400000
2022-03-01,DISCOUNT/RATE/USD/USD1D/25Y,0.5183600000
2022-03-01,DISCOUNT/RATE/USD/USD1D/2D,0.9999500000
2022-03-01,DISCOUNT/RATE/USD/USD1D/2M,0.9978800000
2022-03-01,DISCOUNT/RATE/USD/USD1D/2W,0.9996700000
2022-03-01,DISCOUNT/RATE/USD/USD1D/2Y,0.9464500000
2022-03-01,DISCOUNT/RATE/USD/USD1D/30Y,0.4701100000
