#fixingDate,fixingId,fixingValue
2022-03-18,GBP-SONIA,0.0392680000
2022-03-21,GBP-SONIA,0.0392680000
2022-03-22,GBP-SONIA,0.0392680000
2022-03-23,GBP-SONIA,0.0392680000
2022-03-24,GBP-SONIA,0.0392680000
2022-03-25,GBP-SONIA,0.0392680000
2022-03-28,GBP-SONIA,0.0392680000
2022-03-29,GBP-SONIA,0.0392680000
2022-03-30,GBP-SONIA,0.0392690000
2022-03-31,GBP-SONIA,0.0392700000
2022-04-01,GBP-SONIA,0.0417590000
2022-04-04,GBP-SONIA,0.0417650000
2022-04-05,GBP-SONIA,0.0417650000
2022-04-06,GBP-SONIA,0.0417660000
2022-04-07,GBP-SONIA,0.0417670000
2022-04-08,GBP-SONIA,0.0417680000
2022-04-11,GBP-SONIA,0.0417770000
2022-04-12,GBP-SONIA,0.0417690000
2022-04-13,GBP-SONIA,0.0417670000
2022-04-14,GBP-SONIA,0.0417690000
2022-04-15,GBP-SONIA,0.0417700000
2022-04-18,GBP-SONIA,0.0417670000
2022-04-19,GBP-SONIA,0.0417670000
2022-04-20,GBP-SONIA,0.0417690000
2022-04-21,GBP-SONIA,0.0417690000
2022-04-22,GBP-SONIA,0.0417710000
2022-04-25,GBP-SONIA,0.0417740000
2022-04-26,GBP-SONIA,0.0417740000
2022-04-27,GBP-SONIA,0.0417750000
2022-04-28,GBP-SONIA,0.0417740000
2022-04-29,GBP-SONIA,0.0417730000
2022-05-02,GBP-SONIA,0.0417740000
2022-05-03,GBP-SONIA,0.0417840000
2022-05-04,GBP-SONIA,0.0417870000
2022-05-05,GBP-SONIA,0.0417920000
2022-05-06,GBP-SONIA,0.0417920000
2022-05-09,GBP-SONIA,0.0417780000
2022-05-10,GBP-SONIA,0.0417790000
2022-05-11,GBP-SONIA,0.0417770000
2022-05-12,GBP-SONIA,0.0417770000
2022-05-13,GBP-SONIA,0.0417750000
2022-05-16,GBP-SONIA,0.0442740000
2022-05-17,GBP-SONIA,0.0442770000
2022-05-18,GBP-SONIA,0.0442740000
2022-05-19,GBP-SONIA,0.0442750000
2022-05-20,GBP-SONIA,0.0442740000
2022-05-23,GBP-SONIA,0.0442760000
2022-05-24,GBP-SONIA,0.0442740000
2022-05-25,GBP-SONIA,0.0442770000
2022-05-26,GBP-SONIA,0.0442850000
2022-05-27,GBP-SONIA,0.0442770000
2022-05-30,GBP-SONIA,0.0442780000
2022-05-31,GBP-SONIA,0.0442810000
2022-06-01,GBP-SONIA,0.0442780000
2022-06-02,GBP-SONIA,0.0442780000
2022-06-03,GBP-SONIA,0.0442780000
2022-06-06,GBP-SONIA,0.0442810000
2022-06-07,GBP-SONIA,0.0442800000
2022-06-08,GBP-SONIA,0.0442790000
2022-06-09,GBP-SONIA,0.0442780000
2022-06-10,GBP-SONIA,0.0442790000
2022-06-13,GBP-SONIA,0.0442810000
2022-06-14,GBP-SONIA,0.0442830000
2022-06-15,GBP-SONIA,0.0442810000
2022-06-16,GBP-SONIA,0.0442830000
2022-06-17,GBP-SONIA,0.0442840000
2022-06-20,GBP-SONIA,0.0442790000
2022-06-21,GBP-SONIA,0.0442800000
2022-06-22,GBP-SONIA,0.0442810000
2022-06-23,GBP-SONIA,0.0442880000
2022-06-24,GBP-SONIA,0.0492740000
2022-06-27,GBP-SONIA,0.0492800000
2022-06-28,GBP-SONIA,0.0492820000
2022-06-29,GBP-SONIA,0.0492810000
2022-06-30,GBP-SONIA,0.0492790000
2022-07-01,GBP-SONIA,0.0492840000
2022-07-04,GBP-SONIA,0.0492860000
2022-07-05,GBP-SONIA,0.0492900000
2022-07-06,GBP-SONIA,0.0492910000
2022-07-07,GBP-SONIA,0.0493000000
2022-07-08,GBP-SONIA,0.0492960000
2022-07-11,GBP-SONIA,0.0492970000
2022-07-12,GBP-SONIA,0.0493020000
2022-07-13,GBP-SONIA,0.0492990000
2022-07-14,GBP-SONIA,0.0492980000
2022-07-15,GBP-SONIA,0.0493000000
2022-07-18,GBP-SONIA,0.0493000000
2022-07-19,GBP-SONIA,0.0492990000
2022-07-20,GBP-SONIA,0.0493010000
2022-07-21,GBP-SONIA,0.0493030000
2022-07-22,GBP-SONIA,0.0493050000
2022-07-25,GBP-SONIA,0.0493060000
2022-07-26,GBP-SONIA,0.0493090000
2022-07-27,GBP-SONIA,0.0493080000
2022-07-28,GBP-SONIA,0.0493100000
2022-07-29,GBP-SONIA,0.0493100000
2022-08-01,GBP-SONIA,0.0493150000
2022-08-02,GBP-SONIA,0.0493040000
2022-08-03,GBP-SONIA,0.0493070000
2022-08-04,GBP-SONIA,0.0493040000
2022-08-05,GBP-SONIA,0.0518230000
2022-08-08,GBP-SONIA,0.0518260000
2022-08-09,GBP-SONIA,0.0518290000
2022-08-10,GBP-SONIA,0.0518290000
2022-08-11,GBP-SONIA,0.0518270000
2022-08-12,GBP-SONIA,0.0518290000
2022-08-15,GBP-SONIA,0.0518290000
2022-08-16,GBP-SONIA,0.0518290000
2022-08-17,GBP-SONIA,0.0518340000
2022-08-18,GBP-SONIA,0.0518380000
2022-08-19,GBP-SONIA,0.0518430000
2022-08-22,GBP-SONIA,0.0518430000
2022-08-23,GBP-SONIA,0.0518410000
2022-08-24,GBP-SONIA,0.0518430000
2022-08-25,GBP-SONIA,0.0518590000
2022-08-26,GBP-SONIA,0.0518550000
2022-08-29,GBP-SONIA,0.0518520000
2022-08-30,GBP-SONIA,0.0518530000
2022-08-31,GBP-SONIA,0.0518550000
2022-09-01,GBP-SONIA,0.0518520000
2022-09-02,GBP-SONIA,0.0518520000
2022-09-05,GBP-SONIA,0.0518530000
2022-09-06,GBP-SONIA,0.0518530000
2022-09-07,GBP-SONIA,0.0518500000
2022-09-08,GBP-SONIA,0.0518550000
2022-09-09,GBP-SONIA,0.0518550000
2022-09-12,GBP-SONIA,0.0518600000
2022-09-13,GBP-SONIA,0.0518530000
2022-09-14,GBP-SONIA,0.0518510000
2022-09-15,GBP-SONIA,0.0518470000
2022-09-16,GBP-SONIA,0.0518540000
2022-09-19,GBP-SONIA,0.0518500000
2022-09-20,GBP-SONIA,0.0518540000
2022-09-21,GBP-SONIA,0.0518490000
2022-09-22,GBP-SONIA,0.0518480000
