#datumDate,datumId,datumValue
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/10M,0.0364283000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/11M,0.0362863000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/1M,0.0391673000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/1W,0.0399353000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/1Y,0.0361658000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/2M,0.0385013000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/2W,0.0398953000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/2Y,0.0353518000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/3M,0.0381403000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/3W,0.0399403000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/3Y,0.0355573000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/4M,0.0378983000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/4Y,0.0360173000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/5M,0.0376273000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/5Y,0.0365723000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/6M,0.0373208000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/7M,0.0370408000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/8M,0.0368433000
2025-11-27,IR_SWAP/RATE/GBP/0D/1D/9M,0.0366258000
2025-11-27,IR_SWAP/RATE/GBP/20251218/1D/20260205,0.0378893000
2025-11-27,IR_SWAP/RATE/GBP/20260205/1D/20260319,0.0370283000
2025-11-27,IR_SWAP/RATE/GBP/20260319/1D/20260430,0.0362863000
2025-11-27,IR_SWAP/RATE/GBP/20260430/1D/20260618,0.0354933000
2025-11-27,MM/RATE/GBP/0D/1D,0.0398733000
