#datumDate,datumId,datumValue
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/10Y,0.0008930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/12Y,0.0009390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/15Y,0.0007080000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/1Y,0.0010880000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/20Y,0.0004100000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/2Y,0.0011090000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/30Y,0.0002520000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/3Y,0.0010680000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/40Y,0.0001660000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/4Y,0.0011290000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/50Y,0.0001400000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/5Y,0.0009060000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/60Y,0.0000880000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/70Y,0.0001260000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/3M/GBP/7Y,0.0010610000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/10Y,-0.0064320000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/15Y,-0.0057610000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/20Y,-0.0051160000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/2Y,-0.0056540000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/30Y,-0.0046070000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/3Y,-0.0061010000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/40Y,-0.0049580000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/4Y,-0.0064870000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/50Y,-0.0052080000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/5Y,-0.0065360000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/7Y,-0.0067260000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/10Y,-0.0031670000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/15Y,-0.0034310000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/1Y,-0.0031890000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/20Y,-0.0035020000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/2Y,-0.0031080000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/30Y,-0.0028360000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/3Y,-0.0030360000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/40Y,-0.0023130000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/4Y,-0.0030660000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/50Y,-0.0018340000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/5Y,-0.0029750000
2016-02-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/GBP/3M/7Y,-0.0030060000
2016-02-05,FRA/RATE/EUR/1M/3M,-0.0012430000
