#datumDate,datumId,datumValue
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/10Y,0.1031000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/1Y,0.1084000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/2Y,0.1066000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/3Y,0.1057000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/4Y,0.1051000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/5Y,0.1047000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/6Y,0.1043000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/7Y,0.1040000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/8Y,0.1037000000
2016-02-05,CC_FIX_FLOAT_SWAP/RATE/USD/3M/TRY/1Y/9Y,0.1034000000
2016-02-05,FRA/RATE/USD/1Y/3M,0.0095940000
2016-02-05,FRA/RATE/USD/3M/3M,0.0081320000
2016-02-05,FRA/RATE/USD/6M/3M,0.0085800000
2016-02-05,FRA/RATE/USD/9M/3M,0.0091410000
2016-02-05,FX/RATE/USD/TRY,2.9232500000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/10Y,0.0133180000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/12Y,0.0145900000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/15Y,0.0160290000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1M,0.0044580000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y,0.0056140000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y3M,0.0058570000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y6M,0.0060540000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y9M,0.0060970000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/20Y,0.0173400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/25Y,0.0180400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/2Y,0.0064330000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/30Y,0.0183260000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3M,0.0048510000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3Y,0.0071010000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/4Y,0.0082640000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/5Y,0.0092690000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/6M,0.0052370000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/7Y,0.0110350000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/9M,0.0054710000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/10Y,0.0168050000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/12Y,0.0180380000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/15Y,0.0193230000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/20Y,0.0206660000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/25Y,0.0212960000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/2Y,0.0092680000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/30Y,0.0217450000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/3Y,0.0102440000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/4Y,0.0113070000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/5Y,0.0124040000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/6Y,0.0135020000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/7Y,0.0143570000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/8Y,0.0151810000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/9Y,0.0160630000
2016-02-05,MM/RATE/USD/0D/1D,0.0044800000
2016-02-05,MM/RATE/USD/2D/1M,0.0074110000
2016-02-05,MM/RATE/USD/2D/1W,0.0058090000
2016-02-05,MM/RATE/USD/2D/2M,0.0094220000
2016-02-05,MM/RATE/USD/2D/3M,0.0079610000
