#datumDate,datumId,datumValue
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/2Y,0.0024800000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/3Y,0.0025900000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/4Y,0.0026700000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/5Y,0.0027200000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/10Y,0.0027700000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/12Y,0.0027800000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/15Y,0.0027900000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/20Y,0.0028000000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/25Y,0.0028000000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/30Y,0.0028100000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/6Y,0.0027400000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/7Y,0.0027500000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/8Y,0.0027500000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_FEDFUNDS/9Y,0.0027600000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_PRIME/2Y,-0.0283380000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_PRIME/3Y,-0.0278250000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_PRIME/4Y,-0.0276030000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_PRIME/5Y,-0.0272880000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/LIBOR_PRIME/7Y,-0.0272380000
2016-02-05,FRA/RATE/USD/1Y/3M,0.0095940000
2016-02-05,FRA/RATE/USD/3M/3M,0.0081320000
2016-02-05,FRA/RATE/USD/6M/3M,0.0085800000
2016-02-05,FRA/RATE/USD/9M/3M,0.0091410000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1M,0.0044580000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y,0.0056140000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y3M,0.0058570000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y6M,0.0060540000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y9M,0.0060970000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3M,0.0048510000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/6M,0.0052370000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/9M,0.0054710000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/10Y,0.0168050000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/12Y,0.0180380000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/15Y,0.0193230000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/20Y,0.0206660000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/25Y,0.0212960000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/2Y,0.0092680000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/30Y,0.0217450000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/3Y,0.0102440000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/4Y,0.0113070000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/5Y,0.0124040000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/6Y,0.0135020000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/7Y,0.0143570000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/8Y,0.0151810000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/9Y,0.0160630000
2016-02-05,MM/RATE/USD/0D/1D,0.0044800000
2016-02-05,MM/RATE/USD/2D/1M,0.0074110000
2016-02-05,MM/RATE/USD/2D/1W,0.0058090000
2016-02-05,MM/RATE/USD/2D/2M,0.0094220000
2016-02-05,MM/RATE/USD/2D/3M,0.0079610000
