#TradeId,ResultId,ResultType,ResultValue
Cap_USD_SOFR,PricingConfigEngine,string,DiscountingSwapEngine
Cap_USD_SOFR,PricingConfigModel,string,DiscountedCashflows
Cap_USD_SOFR,PricingConfigProductType[0],string,CapFloor_as_Swap
Cap_USD_SOFR,PricingConfigProductType[1],string,Swap
Cap_USD_SOFR,amount[1],double,0.000000
Cap_USD_SOFR,currentNotional[1],double,100000000.000000
Cap_USD_SOFR,index[1],string,SOFRON Actual/360
Cap_USD_SOFR,isPayer[1],bool,false
Cap_USD_SOFR,isdaAssetClass,string,Interest Rate
Cap_USD_SOFR,isdaBaseProduct,string,IR Swap
Cap_USD_SOFR,isdaSubProduct,string,Basis
Cap_USD_SOFR,isdaTransaction,string,
Cap_USD_SOFR,legNPV[1],double,292.449762
Cap_USD_SOFR,legType[1],string,Floating
Cap_USD_SOFR,notionalCurrency[1],string,USD
Cap_USD_SOFR,originalNotional[1],double,100000000.000000
Cap_USD_SOFR,paymentDate[1],string,2024-06-21
Cap_USD_SOFR,rate[1],double,0.000000
Cap_USD_SOFR,spread[1],double,0.000000
Cap_USD_SOFR,startDate,string,2024-03-21
Swaption_USD_SOFR,PricingConfigEngine,string,BlackBachelierSwaptionEngine
Swaption_USD_SOFR,PricingConfigModel,string,BlackBachelier
Swaption_USD_SOFR,PricingConfigProductType[0],string,EuropeanSwaption
Swaption_USD_SOFR,PricingConfigProductType[1],string,EuropeanSwaption_NonStandard
Swaption_USD_SOFR,amount[1],double,3806060.606440
Swaption_USD_SOFR,amount[2],double,1558347.222222
Swaption_USD_SOFR,currentNotional[1],double,100000000.000000
Swaption_USD_SOFR,currentNotional[2],double,100000000.000000
Swaption_USD_SOFR,index[1],string,SOFRON Actual/360
Swaption_USD_SOFR,isPayer[1],bool,true
Swaption_USD_SOFR,isPayer[2],bool,false
Swaption_USD_SOFR,isdaAssetClass,string,Interest Rate
Swaption_USD_SOFR,isdaBaseProduct,string,Option
Swaption_USD_SOFR,isdaSubProduct,string,Swaption
Swaption_USD_SOFR,isdaTransaction,string,
Swaption_USD_SOFR,legType[1],string,Floating
Swaption_USD_SOFR,legType[2],string,Fixed
Swaption_USD_SOFR,notionalCurrency[1],string,USD
Swaption_USD_SOFR,notionalCurrency[2],string,USD
Swaption_USD_SOFR,originalNotional[1],double,100000000.000000
Swaption_USD_SOFR,originalNotional[2],double,100000000.000000
Swaption_USD_SOFR,paymentDate[1],string,2027-01-12
Swaption_USD_SOFR,paymentDate[2],string,2027-01-12
Swaption_USD_SOFR,rate[1],double,0.037539
Swaption_USD_SOFR,rate[2],double,0.015370
Swaption_USD_SOFR,spread[1],double,0.000000
Swaption_USD_SOFR,annuity,double,1288935925.044971
Swaption_USD_SOFR,atmForward,double,0.037443
Swaption_USD_SOFR,delta,double,-49582996.723264
Swaption_USD_SOFR,fixedBps,double,1288935925.044971
Swaption_USD_SOFR,fixedNpv,double,19810945.167941
Swaption_USD_SOFR,floatingBps,double,-1288882218.935392
Swaption_USD_SOFR,floatingNpv,double,-48261576.263478
Swaption_USD_SOFR,impliedVolatility,double,0.009280
Swaption_USD_SOFR,instMultiplier,double,1.000000
Swaption_USD_SOFR,simpleCashflowCorrection,double,0.000000
Swaption_USD_SOFR,simpleCfNpv,double,0.000000
Swaption_USD_SOFR,spreadCorrection,double,-0.000000
Swaption_USD_SOFR,stdDev,double,0.012479
Swaption_USD_SOFR,strike,double,0.015370
Swaption_USD_SOFR,swapLength,double,20.000000
Swaption_USD_SOFR,timeToExpiry,double,1.808219
Swaption_USD_SOFR,underlyingNPV,double,-28450631.095537
Swaption_USD_SOFR,underlyingNpv,double,-28450631.095537
Swaption_USD_SOFR,vega,double,144687226.975833
Swaption_USD_SOFR,weightedFixedRate,double,0.015370
Swaption_USD_SOFR,weightedFloatingSpread,double,-0.000000
