#Tenor,Date,USD,VND
1M,2026-06-29,0.995240538579917,0.985756102460016
2M,2026-07-28,0.990902016619376,0.973465992407577
3M,2026-08-28,0.986263540576526,0.959569087789177
4M,2026-09-28,0.981653710201100,0.946014074298781
5M,2026-10-28,0.977199492833463,0.933666760119500
6M,2026-11-30,0.972368527671988,0.919686866420708
7M,2026-12-28,0.968284903846619,0.909067721125302
8M,2027-01-28,0.963793491181289,0.896356552033500
9M,2027-03-01,0.959218061775297,0.883186232450472
10M,2027-03-30,0.955103860867609,0.872268675156344
11M,2027-04-28,0.951016696286874,0.861753507117868
1Y,2027-05-28,0.946817771769576,0.850497898083341
1Y1M,2027-06-28,0.942898762786432,0.839747959432187
1Y2M,2027-07-28,0.939195713883898,0.829592461610901
1Y3M,2027-08-30,0.935139155048471,0.818563208667680
1Y4M,2027-09-28,0.931588766936633,0.809079029982500
1Y5M,2027-10-28,0.927930135811885,0.799390024917211
1Y6M,2027-11-29,0.924043431899434,0.789182942050276
1Y7M,2027-12-28,0.920535170270428,0.780182198902330
1Y8M,2028-01-28,0.916799687455031,0.770684904952897
1Y9M,2028-02-28,0.913079363030442,0.761303223218777
1Y10M,2028-03-28,0.909612728040167,0.752630228873340
1Y11M,2028-04-28,0.905921567915060,0.743468329859372
2Y,2028-05-29,0.902245386321640,0.734417960239683
2Y1M,2028-06-28,0.899181007370677,0.725764449959877
2Y2M,2028-07-28,0.896180094725024,0.717212902382806
2Y3M,2028-08-28,0.893089672790301,0.708482144660009
2Y4M,2028-09-28,0.890009907985536,0.699857667973375
2Y5M,2028-10-30,0.886841935310118,0.691065089815554
2Y6M,2028-11-28,0.883980701313075,0.683192269323664
2Y7M,2028-12-28,0.881030517931376,0.675142341835852
2Y8M,2029-01-29,0.877894507217369,0.666660271723745
2Y9M,2029-02-28,0.874964635804757,0.658805137689963
2Y10M,2029-03-28,0.872238911833344,0.651557206897185
2Y11M,2029-04-30,0.869037350531831,0.643117304642603
3Y,2029-05-28,0.866330091470761,0.636041965594654
3Y1M,2029-06-28,0.863406903537644,0.628299315839345
3Y2M,2029-07-30,0.860406851554740,0.620405752485213
3Y3M,2029-08-28,0.857697059515857,0.613337904328167
3Y4M,2029-09-28,0.854809822041307,0.605871635069616
3Y5M,2029-10-29,0.851932303779552,0.598496254008660
3Y6M,2029-11-28,0.849156831855395,0.591444283922309
3Y7M,2029-12-28,0.846390402016351,0.584475405888357
3Y8M,2030-01-28,0.843541225772025,0.577360484856135
3Y9M,2030-02-28,0.840701640616223,0.570332174998283
3Y10M,2030-03-28,0.838145070911412,0.564057591063227
3Y11M,2030-04-29,0.835232795399546,0.556971120939527
4Y,2030-05-28,0.832602287314333,0.550625939105072
4Y1M,2030-06-28,0.829727675196270,0.543923073534413
4Y2M,2030-07-29,0.826858049998551,0.537301803115141
4Y3M,2030-08-28,0.824090443286859,0.530970875866170
4Y4M,2030-09-30,0.821056774118014,0.524092980502720
4Y5M,2030-10-28,0.818491511152846,0.518327103106888
4Y6M,2030-11-28,0.815660746391423,0.512017416898860
4Y7M,2030-12-30,0.812748935311583,0.505584747282928
4Y8M,2031-01-28,0.810119086248867,0.499824974408482
4Y9M,2031-02-28,0.807317277640394,0.493740517839358
4Y10M,2031-03-28,0.804794941574541,0.488308567026956
4Y11M,2031-04-28,0.802011546597638,0.482364301693030
