#Tenor,Date,EUR,USD
1M,2022-02-28,0.998306840894132,0.996460925091293
2M,2022-03-31,0.996283289031292,0.992487492741539
3M,2022-05-02,0.993970562439419,0.988290186463208
4M,2022-05-31,0.991576052018668,0.984413453650535
5M,2022-06-30,0.989013450844807,0.980384147188342
6M,2022-08-01,0.986309014095498,0.976128856781889
7M,2022-08-31,0.983616692992970,0.972187445516996
8M,2022-09-30,0.981028381507151,0.968243808524623
9M,2022-10-31,0.978286216833910,0.964257544190316
10M,2022-11-30,0.975665805468505,0.960487335906442
11M,2023-01-02,0.973531730500085,0.956443141197654
1Y,2023-01-31,0.970969459665512,0.952937715064476
1Y1M,2023-02-28,0.969176168582702,0.950228665773635
1Y2M,2023-03-31,0.967254068929064,0.947294496623872
1Y3M,2023-05-02,0.965273964375302,0.944275179947177
1Y4M,2023-05-31,0.963196624833450,0.941547237509641
1Y5M,2023-06-30,0.961052357257514,0.938733520957978
1Y6M,2023-07-31,0.958841628868730,0.935834847158444
1Y7M,2023-08-31,0.956492711531157,0.932945124045776
1Y8M,2023-10-02,0.954063885058745,0.929971543198941
1Y9M,2023-10-31,0.951868088816140,0.927284922929482
1Y10M,2023-11-30,0.949601893389049,0.924513827830042
1Y11M,2024-01-02,0.947115309529695,0.921475186973711
2Y,2024-01-31,0.944935505566305,0.918813112060525
2Y1M,2024-02-29,0.942760718463344,0.916637409488030
2Y2M,2024-04-02,0.940292048590123,0.914208127558108
2Y3M,2024-04-30,0.938202489654206,0.912151968125160
2Y4M,2024-05-31,0.935894465416086,0.909880899775302
2Y5M,2024-07-01,0.933592119031033,0.907615485912449
2Y6M,2024-07-31,0.931369434800125,0.905428520480182
2Y7M,2024-09-02,0.928930593618581,0.903028944463677
2Y8M,2024-09-30,0.926866282614726,0.900997928301807
2Y9M,2024-10-31,0.924586146003108,0.898754631187117
2Y10M,2024-12-02,0.922238340023653,0.896444827999360
2Y11M,2024-12-31,0.920115790880431,0.894356696784627
3Y,2025-01-31,0.917852260810274,0.892129934952686
3Y1M,2025-02-28,0.915812568571779,0.890198429744612
3Y2M,2025-03-31,0.913559624640008,0.888078661459877
3Y3M,2025-04-30,0.911384633516701,0.886032078963480
3Y4M,2025-06-02,0.908998123616981,0.883786285196184
3Y5M,2025-06-30,0.906978107437132,0.881885227743626
3Y6M,2025-07-31,0.904746896713975,0.879785255114957
3Y7M,2025-09-01,0.902449468634200,0.877622786382131
3Y8M,2025-09-30,0.900372463956210,0.875667640589476
3Y9M,2025-10-31,0.898157503440690,0.873582473473394
3Y10M,2025-12-01,0.895947991836905,0.871502271622330
3Y11M,2025-12-31,0.893814930264752,0.869493889513766
4Y,2026-02-02,0.891474427582188,0.867290014502767
4Y1M,2026-03-02,0.889493353341383,0.865387946440621
4Y2M,2026-03-31,0.887446167410046,0.863420948130640
4Y3M,2026-04-30,0.885333346873247,0.861390827004844
4Y4M,2026-06-01,0.883085215712526,0.859230625464313
4Y5M,2026-06-30,0.881052778232260,0.857277622542186
4Y6M,2026-07-31,0.878885345093202,0.855194838393226
4Y7M,2026-08-31,0.876723243946198,0.853117114436783
4Y8M,2026-09-30,0.874635952409062,0.851111220231244
4Y9M,2026-11-02,0.872345670916142,0.848910183579377
4Y10M,2026-11-30,0.870407105451716,0.847047101645902
4Y11M,2026-12-31,0.868265861190944,0.844989172883573
5Y,2027-02-01,0.866061069577449,0.842870103518344
5Y1M,2027-03-01,0.864136470034468,0.840998028062859
5Y2M,2027-03-31,0.862079144928412,0.838995966006615
5Y3M,2027-04-30,0.860026717875776,0.836998670016810
5Y4M,2027-05-31,0.857911009878646,0.834939792459787
5Y5M,2027-06-30,0.855868506268869,0.832952152510640
5Y6M,2027-08-02,0.853627368347564,0.830771213284837
5Y7M,2027-08-31,0.851662728665299,0.828859344928919
5Y8M,2027-09-30,0.849635100883885,0.826886179964112
5Y9M,2027-11-01,0.847477618448275,0.824786647834758
5Y10M,2027-11-30,0.845527132532789,0.822888551864215
5Y11M,2027-12-31,0.843447094228272,0.820864382851700
6Y,2028-01-31,0.841372172920220,0.818845192958389
6Y1M,2028-02-29,0.839435738804158,0.816943772876550
6Y2M,2028-03-31,0.837370685627612,0.814914760069625
6Y3M,2028-05-02,0.835244346279747,0.812825580942008
6Y4M,2028-05-31,0.833322015473666,0.810936889063244
6Y5M,2028-06-30,0.831338053028712,0.808987687948530
6Y6M,2028-07-31,0.829292920557182,0.806978435373274
6Y7M,2028-08-31,0.827252819212052,0.804974173103768
6Y8M,2028-10-02,0.825152172210296,0.802910478441303
6Y9M,2028-10-31,0.823253068735474,0.801044825421071
6Y10M,2028-11-30,0.821293078310722,0.799119401275611
6Y11M,2029-01-02,0.819142478015436,0.797006779659807
7Y,2029-01-31,0.817257205966517,0.795154844549302
7Y1M,2029-02-28,0.815441060546347,0.793339335859934
7Y2M,2029-04-03,0.813241166086519,0.791137425792164
7Y3M,2029-04-30,0.811498419681553,0.789393204554102
7Y4M,2029-05-31,0.809502093683194,0.787395321891414
7Y5M,2029-07-02,0.807446521182841,0.785338295014685
7Y6M,2029-07-31,0.805588167601825,0.783478756571464
7Y7M,2029-08-31,0.803606381114077,0.781495842840629
7Y8M,2029-10-01,0.801629469918496,0.779517947684747
7Y9M,2029-10-31,0.799720960682505,0.777608621986430
7Y10M,2029-11-30,0.797816995201004,0.775703972927867
7Y11M,2029-12-31,0.795854326179323,0.773740736469851
8Y,2030-01-31,0.793896485419903,0.771782468785394
8Y1M,2030-02-28,0.792132253235031,0.769988809382520
8Y2M,2030-04-01,0.790120788052793,0.767938476951445
8Y3M,2030-04-30,0.788302309977288,0.766085079450715
8Y4M,2030-05-31,0.786363047548914,0.764108807654194
8Y5M,2030-07-01,0.784428555801430,0.762137634051488
8Y6M,2030-07-31,0.782560998282774,0.760234888465696
8Y7M,2030-09-02,0.780511820031513,0.758147354549412
8Y8M,2030-09-30,0.778777331847144,0.756380609477295
8Y9M,2030-10-31,0.776861501333132,0.754429372328783
8Y10M,2030-12-02,0.774888813243522,0.752420471692575
8Y11M,2030-12-31,0.773105391848788,0.750604526452705
9Y,2031-01-31,0.771203514585953,0.748668189881533
9Y1M,2031-02-28,0.769489711733180,0.746877070387526
9Y2M,2031-03-31,0.767596729221144,0.744890492444595
9Y3M,2031-04-30,0.765769244700915,0.742973028868595
9Y4M,2031-06-02,0.763764036563570,0.740869519350478
9Y5M,2031-06-30,0.762066766050726,0.739089394376183
9Y6M,2031-07-31,0.760192044349914,0.737123530451668
9Y7M,2031-09-01,0.758261685091369,0.735099736031665
9Y8M,2031-09-30,0.756516531349455,0.733270472188718
9Y9M,2031-10-31,0.754655463498808,0.731320085700755
9Y10M,2031-12-01,0.752798973966546,0.729374886940373
9Y11M,2031-12-31,0.751006719753629,0.727497362937660
10Y,2032-02-02,0.749040168085392,0.725437668214051
10Y1M,2032-03-01,0.747375617609898,0.723654154939544
10Y2M,2032-03-31,0.745596275254747,0.721746511826912
10Y3M,2032-04-30,0.743821169135222,0.719843897500780
10Y4M,2032-05-31,0.741991332499610,0.717883131635572
10Y5M,2032-06-30,0.740224808981900,0.715990701664168
10Y6M,2032-08-02,0.738286490329503,0.713914790117594
10Y7M,2032-08-31,0.736587309879620,0.712095473488048
10Y8M,2032-09-30,0.734833652190161,0.710218300509404
10Y9M,2032-11-01,0.732967685616927,0.708221436652136
10Y10M,2032-11-30,0.731280746497615,0.706416628774588
10Y11M,2032-12-31,0.729481759918066,0.704492437130919
11Y,2033-01-31,0.727687198933925,0.702573486747622
11Y1M,2033-02-28,0.726070099979016,0.700844734339282
11Y2M,2033-03-31,0.724283931846011,0.698935719847843
11Y3M,2033-05-02,0.722444754227611,0.696970578318095
11Y4M,2033-05-31,0.720782033835753,0.695194441752512
11Y5M,2033-06-30,0.719066005146274,0.693361822013238
11Y6M,2033-08-01,0.717240077433855,0.691412352165172
11Y7M,2033-08-31,0.715532481389083,0.689589702488398
11Y8M,2033-09-30,0.713828950767234,0.687771857544768
11Y9M,2033-10-31,0.712072896462955,0.685898451955019
11Y10M,2033-11-30,0.710377602376852,0.684090337610749
11Y11M,2034-01-02,0.708517440247423,0.682106916558710
12Y,2034-01-31,0.706886773834534,0.680368658052790
12Y1M,2034-02-28,0.705315898512168,0.678678035659880
12Y2M,2034-03-31,0.703580786734861,0.676809773003210
12Y3M,2034-05-02,0.701794180710894,0.674886638124838
12Y4M,2034-05-31,0.700178988008162,0.673148517655858
12Y5M,2034-06-30,0.698512010787880,0.671355172458386
12Y6M,2034-07-31,0.696793636908793,0.669507068155369
12Y7M,2034-08-31,0.695079490313908,0.667664051307777
12Y8M,2034-10-02,0.693314471672205,0.665766903726105
12Y9M,2034-10-31,0.691718795181686,0.664052270456508
12Y10M,2034-11-30,0.690071959880774,0.662283158709459
12Y11M,2035-01-02,0.688264969173218,0.660342578954704
13Y,2035-01-31,0.686680914209085,0.658641915631144
13Y1M,2035-02-28,0.685154941249343,0.657004051981582
13Y2M,2035-04-02,0.683360826020711,0.655078940727732
13Y3M,2035-04-30,0.681842231109047,0.653449937229552
13Y4M,2035-05-31,0.680164865707306,0.651651122398978
13Y5M,2035-07-02,0.678437719842503,0.649799475079444
13Y6M,2035-07-31,0.676876282480287,0.648125964737758
13Y7M,2035-08-31,0.675211133556254,0.646341805721088
13Y8M,2035-10-01,0.673550080980417,0.644562558131471
13Y9M,2035-10-31,0.671946501522960,0.642845369223263
13Y10M,2035-11-30,0.670346739847059,0.641132755104126
13Y11M,2035-12-31,0.668697653918836,0.639367846971856
14Y,2036-01-31,0.667052624823052,0.637607797272867
14Y1M,2036-02-29,0.665517390474341,0.635965685692913
14Y2M,2036-03-31,0.663880184982943,0.634215001452264
14Y3M,2036-04-30,0.662299627490764,0.632525379627084
14Y4M,2036-06-02,0.660565360135950,0.630671994213412
14Y5M,2036-06-30,0.659097422325459,0.629103684165715
14Y6M,2036-07-31,0.657476010271255,0.627371889620224
14Y7M,2036-09-01,0.655806478324517,0.625589231019884
14Y8M,2036-09-30,0.654297127196639,0.623978072365698
14Y9M,2036-10-31,0.652687524104391,0.622260387587453
14Y10M,2036-12-01,0.651081880714864,0.620547431246197
14Y11M,2036-12-31,0.649531793262543,0.618894221402544
15Y,2037-02-02,0.647830959171428,0.617080777136909
15Y1M,2037-03-02,0.646391320314830,0.615634290585740
15Y2M,2037-03-31,0.644903638352828,0.614143086891380
15Y3M,2037-04-30,0.643368259981265,0.612604263278858
15Y4M,2037-06-01,0.641734551911654,0.610967101074705
15Y5M,2037-06-30,0.640257587591020,0.609487202355308
15Y6M,2037-07-31,0.638682522456259,0.607909205429576
15Y7M,2037-08-31,0.637111332059145,0.606335294027360
15Y8M,2037-09-30,0.635594505511197,0.604816033960007
15Y9M,2037-11-02,0.633930166961010,0.603149244284777
15Y10M,2037-11-30,0.632521419064964,0.601738601205454
15Y11M,2037-12-31,0.630965385285017,0.600180665847457
16Y,2038-02-01,0.629363171893863,0.598576705247298
16Y1M,2038-03-01,0.627964572977984,0.597176756404285
16Y2M,2038-03-31,0.626469522917605,0.595680444366880
16Y3M,2038-04-30,0.624978032253374,0.594187881553955
16Y4M,2038-05-31,0.623440555575749,0.592649495437272
16Y5M,2038-06-30,0.621956276238403,0.591164527101726
16Y6M,2038-08-02,0.620327650128361,0.589535359098881
16Y7M,2038-08-31,0.618899954200796,0.588107372843262
16Y8M,2038-09-30,0.617426485069394,0.586633785447513
16Y9M,2038-11-01,0.615858651071679,0.585066028383478
