#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
BasisSwap,CommoditySwap,1,0,2025-12-09,Notional (units),-105090000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-10-10,678.0000000000,155000.0000,1.0000000000,-105090000.0000000000,1.0000000000,-105090000.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,2,0,2026-01-06,Notional (units),-100050000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-11-12,667.0000000000,150000.0000,1.0000000000,-100050000.0000000000,1.0000000000,-100050000.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,3,0,2026-02-06,Notional (units),-101680000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-12-11,656.0000000000,155000.0000,1.0000000000,-101680000.0000000000,1.0000000000,-101680000.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,4,0,2026-03-09,Notional (units),-99975000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2026-01-12,645.0000000000,155000.0000,1.0000000000,-99975000.0000000000,1.0000000000,-99975000.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,1,1,2025-12-09,Notional (units),102524750.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-10-10,680.0000000000,155000.0000,1.0000000000,102524750.0000000000,1.0000000000,102524750.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,2,1,2026-01-06,Notional (units),97717500.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-11-12,670.0000000000,150000.0000,1.0000000000,97717500.0000000000,1.0000000000,97717500.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,3,1,2026-02-06,Notional (units),99424750.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2025-12-11,660.0000000000,155000.0000,1.0000000000,99424750.0000000000,1.0000000000,99424750.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BasisSwap,CommoditySwap,4,1,2026-03-09,Notional (units),97874750.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2026-01-12,650.0000000000,155000.0000,1.0000000000,97874750.0000000000,1.0000000000,97874750.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Option,CommodityOption,1,0,2025-10-09,ExpectedFlow,20010000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0000000000,20009999.9999999963,1.0000000000,20009999.9999999963,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Option,CommodityOption,1,0,2025-10-09,Premium,-37500.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0000000000,-37500.0000000000,1.0000000000,-37500.0000000000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
