#datumDate,datumId,datumValue
2025-09-19,COMMODITY_FWD/PRICE/NaturalGas/USD/2025-10-10,680.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGas/USD/2025-11-12,670.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGas/USD/2025-12-11,660.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGas/USD/2026-01-12,650.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGas/USD/2026-02-12,640.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGasBasis/USD/2025-10-10,2.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGasBasis/USD/2025-11-12,3.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGasBasis/USD/2025-12-11,4.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGasBasis/USD/2026-01-12,5.0000000000
2025-09-19,COMMODITY_FWD/PRICE/NaturalGasBasis/USD/2026-02-12,6.0000000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-10-03/-10000,52.6000000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-10-03/0,46.2000000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-10-03/10000,41.3000000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-11-05/-100000,26.5600000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-11-05/0,26.0000000000
2025-09-19,COMMODITY_OPTION/RATE_NVOL/NaturalGasBasis/USD/2025-11-05/100000,26.2800000000
2025-09-19,DISCOUNT/RATE/USD/USD-DUMMY/1D,1.0000000000
2025-09-19,DISCOUNT/RATE/USD/USD-DUMMY/50Y,1.0000000000
