#Key,Factor,BaseValue,ShiftSize
DiscountCurve/USD/0,DiscountCurve/USD/0/6M,0.00000000,0.00000000
DiscountCurve/USD/1,DiscountCurve/USD/1/1Y,0.00000000,0.00000000
DiscountCurve/USD/2,DiscountCurve/USD/2/2Y,0.00000000,0.00000000
DiscountCurve/USD/3,DiscountCurve/USD/3/3Y,0.00000000,0.00000000
DiscountCurve/USD/4,DiscountCurve/USD/4/4Y,0.00000000,0.00000000
DiscountCurve/USD/5,DiscountCurve/USD/5/5Y,0.00000000,0.00000000
DiscountCurve/USD/6,DiscountCurve/USD/6/7Y,0.00000000,0.00000000
DiscountCurve/USD/7,DiscountCurve/USD/7/10Y,0.00000000,0.00000000
DiscountCurve/USD/8,DiscountCurve/USD/8/15Y,0.00000000,0.00000000
DiscountCurve/USD/9,DiscountCurve/USD/9/20Y,0.00000000,0.00000000
CommodityCurve/NaturalGas/0,CommodityCurve/NaturalGas/0/1D,680.00000000,1.86250000
CommodityCurve/NaturalGas/1,CommodityCurve/NaturalGas/1/2D,680.00000000,1.86250000
CommodityCurve/NaturalGas/2,CommodityCurve/NaturalGas/2/3D,680.00000000,1.86250000
CommodityCurve/NaturalGas/3,CommodityCurve/NaturalGas/3/4D,680.00000000,1.86250000
CommodityCurve/NaturalGas/4,CommodityCurve/NaturalGas/4/5D,680.00000000,1.86250000
CommodityCurve/NaturalGas/5,CommodityCurve/NaturalGas/5/6D,680.00000000,1.86250000
CommodityCurve/NaturalGas/6,CommodityCurve/NaturalGas/6/7D,680.00000000,1.86250000
CommodityCurve/NaturalGas/7,CommodityCurve/NaturalGas/7/8D,680.00000000,1.86250000
CommodityCurve/NaturalGas/8,CommodityCurve/NaturalGas/8/9D,680.00000000,1.86250000
CommodityCurve/NaturalGas/9,CommodityCurve/NaturalGas/9/10D,680.00000000,1.86250000
CommodityCurve/NaturalGas/10,CommodityCurve/NaturalGas/10/11D,680.00000000,1.86250000
CommodityCurve/NaturalGas/11,CommodityCurve/NaturalGas/11/12D,680.00000000,1.86250000
CommodityCurve/NaturalGas/12,CommodityCurve/NaturalGas/12/13D,680.00000000,1.86250000
CommodityCurve/NaturalGas/13,CommodityCurve/NaturalGas/13/14D,680.00000000,1.86250000
CommodityCurve/NaturalGas/14,CommodityCurve/NaturalGas/14/15D,680.00000000,1.86250000
CommodityCurve/NaturalGas/15,CommodityCurve/NaturalGas/15/16D,680.00000000,1.86250000
CommodityCurve/NaturalGas/16,CommodityCurve/NaturalGas/16/17D,680.00000000,1.86250000
CommodityCurve/NaturalGas/17,CommodityCurve/NaturalGas/17/18D,680.00000000,1.86250000
CommodityCurve/NaturalGas/18,CommodityCurve/NaturalGas/18/19D,680.00000000,1.86250000
CommodityCurve/NaturalGas/19,CommodityCurve/NaturalGas/19/20D,680.00000000,1.86250000
CommodityCurve/NaturalGas/20,CommodityCurve/NaturalGas/20/21D,680.00000000,1.86250000
CommodityCurve/NaturalGas/21,CommodityCurve/NaturalGas/21/22D,670.00000000,1.86250000
CommodityCurve/NaturalGas/22,CommodityCurve/NaturalGas/22/23D,670.00000000,1.86250000
CommodityCurve/NaturalGas/23,CommodityCurve/NaturalGas/23/24D,670.00000000,1.86250000
CommodityCurve/NaturalGas/24,CommodityCurve/NaturalGas/24/25D,670.00000000,1.86250000
CommodityCurve/NaturalGas/25,CommodityCurve/NaturalGas/25/26D,670.00000000,1.86250000
CommodityCurve/NaturalGas/26,CommodityCurve/NaturalGas/26/27D,670.00000000,1.86250000
CommodityCurve/NaturalGas/27,CommodityCurve/NaturalGas/27/28D,670.00000000,1.86250000
CommodityCurve/NaturalGas/28,CommodityCurve/NaturalGas/28/29D,670.00000000,1.86250000
CommodityCurve/NaturalGas/29,CommodityCurve/NaturalGas/29/30D,670.00000000,1.86250000
CommodityCurve/NaturalGas/30,CommodityCurve/NaturalGas/30/31D,670.00000000,1.86250000
CommodityCurve/NaturalGas/31,CommodityCurve/NaturalGas/31/32D,670.00000000,1.86250000
CommodityCurve/NaturalGas/32,CommodityCurve/NaturalGas/32/33D,670.00000000,1.86250000
CommodityCurve/NaturalGas/33,CommodityCurve/NaturalGas/33/34D,670.00000000,1.86250000
CommodityCurve/NaturalGas/34,CommodityCurve/NaturalGas/34/35D,670.00000000,1.86250000
CommodityCurve/NaturalGas/35,CommodityCurve/NaturalGas/35/36D,670.00000000,1.86250000
CommodityCurve/NaturalGas/36,CommodityCurve/NaturalGas/36/37D,670.00000000,1.86250000
CommodityCurve/NaturalGas/37,CommodityCurve/NaturalGas/37/38D,670.00000000,1.86250000
CommodityCurve/NaturalGas/38,CommodityCurve/NaturalGas/38/39D,670.00000000,1.86250000
CommodityCurve/NaturalGas/39,CommodityCurve/NaturalGas/39/40D,670.00000000,1.86250000
CommodityCurve/NaturalGas/40,CommodityCurve/NaturalGas/40/41D,670.00000000,1.86250000
CommodityCurve/NaturalGas/41,CommodityCurve/NaturalGas/41/42D,670.00000000,1.86250000
CommodityCurve/NaturalGas/42,CommodityCurve/NaturalGas/42/43D,670.00000000,1.86250000
CommodityCurve/NaturalGas/43,CommodityCurve/NaturalGas/43/44D,670.00000000,1.86250000
CommodityCurve/NaturalGas/44,CommodityCurve/NaturalGas/44/45D,670.00000000,1.86250000
CommodityCurve/NaturalGas/45,CommodityCurve/NaturalGas/45/46D,670.00000000,1.86250000
CommodityCurve/NaturalGas/46,CommodityCurve/NaturalGas/46/47D,670.00000000,1.86250000
CommodityCurve/NaturalGas/47,CommodityCurve/NaturalGas/47/48D,670.00000000,1.86250000
CommodityCurve/NaturalGas/48,CommodityCurve/NaturalGas/48/49D,670.00000000,1.86250000
CommodityCurve/NaturalGas/49,CommodityCurve/NaturalGas/49/50D,670.00000000,1.86250000
CommodityCurve/NaturalGas/50,CommodityCurve/NaturalGas/50/51D,670.00000000,1.86250000
CommodityCurve/NaturalGas/51,CommodityCurve/NaturalGas/51/52D,670.00000000,1.86250000
CommodityCurve/NaturalGas/52,CommodityCurve/NaturalGas/52/53D,670.00000000,1.86250000
CommodityCurve/NaturalGas/53,CommodityCurve/NaturalGas/53/54D,670.00000000,1.86250000
CommodityCurve/NaturalGas/54,CommodityCurve/NaturalGas/54/55D,660.00000000,1.86250000
CommodityCurve/NaturalGas/55,CommodityCurve/NaturalGas/55/56D,660.00000000,1.86250000
CommodityCurve/NaturalGas/56,CommodityCurve/NaturalGas/56/57D,660.00000000,1.86250000
CommodityCurve/NaturalGas/57,CommodityCurve/NaturalGas/57/58D,660.00000000,1.86250000
CommodityCurve/NaturalGas/58,CommodityCurve/NaturalGas/58/59D,660.00000000,1.86250000
CommodityCurve/NaturalGas/59,CommodityCurve/NaturalGas/59/60D,660.00000000,1.86250000
CommodityCurve/NaturalGas/60,CommodityCurve/NaturalGas/60/61D,660.00000000,1.86250000
CommodityCurve/NaturalGas/61,CommodityCurve/NaturalGas/61/62D,660.00000000,1.86250000
CommodityCurve/NaturalGas/62,CommodityCurve/NaturalGas/62/63D,660.00000000,1.86250000
CommodityCurve/NaturalGas/63,CommodityCurve/NaturalGas/63/64D,660.00000000,1.86250000
CommodityCurve/NaturalGas/64,CommodityCurve/NaturalGas/64/65D,660.00000000,1.86250000
CommodityCurve/NaturalGas/65,CommodityCurve/NaturalGas/65/66D,660.00000000,1.86250000
CommodityCurve/NaturalGas/66,CommodityCurve/NaturalGas/66/67D,660.00000000,1.86250000
CommodityCurve/NaturalGas/67,CommodityCurve/NaturalGas/67/68D,660.00000000,1.86250000
CommodityCurve/NaturalGas/68,CommodityCurve/NaturalGas/68/69D,660.00000000,1.86250000
CommodityCurve/NaturalGas/69,CommodityCurve/NaturalGas/69/70D,660.00000000,1.86250000
CommodityCurve/NaturalGas/70,CommodityCurve/NaturalGas/70/71D,660.00000000,1.86250000
CommodityCurve/NaturalGas/71,CommodityCurve/NaturalGas/71/72D,660.00000000,1.86250000
CommodityCurve/NaturalGas/72,CommodityCurve/NaturalGas/72/73D,660.00000000,1.86250000
CommodityCurve/NaturalGas/73,CommodityCurve/NaturalGas/73/74D,660.00000000,1.86250000
CommodityCurve/NaturalGas/74,CommodityCurve/NaturalGas/74/75D,660.00000000,1.86250000
CommodityCurve/NaturalGas/75,CommodityCurve/NaturalGas/75/76D,660.00000000,1.86250000
CommodityCurve/NaturalGas/76,CommodityCurve/NaturalGas/76/77D,660.00000000,1.86250000
CommodityCurve/NaturalGas/77,CommodityCurve/NaturalGas/77/78D,660.00000000,1.86250000
CommodityCurve/NaturalGas/78,CommodityCurve/NaturalGas/78/79D,660.00000000,1.86250000
CommodityCurve/NaturalGas/79,CommodityCurve/NaturalGas/79/80D,660.00000000,1.86250000
CommodityCurve/NaturalGas/80,CommodityCurve/NaturalGas/80/81D,660.00000000,1.86250000
CommodityCurve/NaturalGas/81,CommodityCurve/NaturalGas/81/82D,660.00000000,1.86250000
CommodityCurve/NaturalGas/82,CommodityCurve/NaturalGas/82/83D,660.00000000,1.86250000
CommodityCurve/NaturalGas/83,CommodityCurve/NaturalGas/83/84D,650.00000000,1.86250000
CommodityCurve/NaturalGas/84,CommodityCurve/NaturalGas/84/85D,650.00000000,1.86250000
CommodityCurve/NaturalGas/85,CommodityCurve/NaturalGas/85/86D,650.00000000,1.86250000
CommodityCurve/NaturalGas/86,CommodityCurve/NaturalGas/86/87D,650.00000000,1.86250000
CommodityCurve/NaturalGas/87,CommodityCurve/NaturalGas/87/88D,650.00000000,1.86250000
CommodityCurve/NaturalGas/88,CommodityCurve/NaturalGas/88/89D,650.00000000,1.86250000
CommodityCurve/NaturalGas/89,CommodityCurve/NaturalGas/89/90D,650.00000000,1.86250000
CommodityCurve/NaturalGas/90,CommodityCurve/NaturalGas/90/91D,650.00000000,1.86250000
CommodityCurve/NaturalGas/91,CommodityCurve/NaturalGas/91/92D,650.00000000,1.86250000
CommodityCurve/NaturalGas/92,CommodityCurve/NaturalGas/92/93D,650.00000000,1.86250000
CommodityCurve/NaturalGas/93,CommodityCurve/NaturalGas/93/94D,650.00000000,1.86250000
CommodityCurve/NaturalGas/94,CommodityCurve/NaturalGas/94/95D,650.00000000,1.86250000
CommodityCurve/NaturalGas/95,CommodityCurve/NaturalGas/95/96D,650.00000000,1.86250000
CommodityCurve/NaturalGas/96,CommodityCurve/NaturalGas/96/97D,650.00000000,1.86250000
CommodityCurve/NaturalGas/97,CommodityCurve/NaturalGas/97/98D,650.00000000,1.86250000
CommodityCurve/NaturalGas/98,CommodityCurve/NaturalGas/98/99D,650.00000000,1.86250000
CommodityCurve/NaturalGas/99,CommodityCurve/NaturalGas/99/100D,650.00000000,1.86250000
CommodityCurve/NaturalGas/100,CommodityCurve/NaturalGas/100/101D,650.00000000,1.86250000
CommodityCurve/NaturalGas/101,CommodityCurve/NaturalGas/101/102D,650.00000000,1.86250000
CommodityCurve/NaturalGasBasis/0,CommodityCurve/NaturalGasBasis/0/1D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/1,CommodityCurve/NaturalGasBasis/1/2D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/2,CommodityCurve/NaturalGasBasis/2/3D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/3,CommodityCurve/NaturalGasBasis/3/4D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/4,CommodityCurve/NaturalGasBasis/4/5D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/5,CommodityCurve/NaturalGasBasis/5/6D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/6,CommodityCurve/NaturalGasBasis/6/7D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/7,CommodityCurve/NaturalGasBasis/7/8D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/8,CommodityCurve/NaturalGasBasis/8/9D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/9,CommodityCurve/NaturalGasBasis/9/10D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/10,CommodityCurve/NaturalGasBasis/10/11D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/11,CommodityCurve/NaturalGasBasis/11/12D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/12,CommodityCurve/NaturalGasBasis/12/13D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/13,CommodityCurve/NaturalGasBasis/13/14D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/14,CommodityCurve/NaturalGasBasis/14/15D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/15,CommodityCurve/NaturalGasBasis/15/16D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/16,CommodityCurve/NaturalGasBasis/16/17D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/17,CommodityCurve/NaturalGasBasis/17/18D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/18,CommodityCurve/NaturalGasBasis/18/19D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/19,CommodityCurve/NaturalGasBasis/19/20D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/20,CommodityCurve/NaturalGasBasis/20/21D,678.00000000,1.86250000
CommodityCurve/NaturalGasBasis/21,CommodityCurve/NaturalGasBasis/21/22D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/22,CommodityCurve/NaturalGasBasis/22/23D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/23,CommodityCurve/NaturalGasBasis/23/24D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/24,CommodityCurve/NaturalGasBasis/24/25D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/25,CommodityCurve/NaturalGasBasis/25/26D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/26,CommodityCurve/NaturalGasBasis/26/27D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/27,CommodityCurve/NaturalGasBasis/27/28D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/28,CommodityCurve/NaturalGasBasis/28/29D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/29,CommodityCurve/NaturalGasBasis/29/30D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/30,CommodityCurve/NaturalGasBasis/30/31D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/31,CommodityCurve/NaturalGasBasis/31/32D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/32,CommodityCurve/NaturalGasBasis/32/33D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/33,CommodityCurve/NaturalGasBasis/33/34D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/34,CommodityCurve/NaturalGasBasis/34/35D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/35,CommodityCurve/NaturalGasBasis/35/36D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/36,CommodityCurve/NaturalGasBasis/36/37D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/37,CommodityCurve/NaturalGasBasis/37/38D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/38,CommodityCurve/NaturalGasBasis/38/39D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/39,CommodityCurve/NaturalGasBasis/39/40D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/40,CommodityCurve/NaturalGasBasis/40/41D,667.00000000,1.86250000
CommodityCurve/NaturalGasBasis/41,CommodityCurve/NaturalGasBasis/41/42D,667.00000000,1.86250000
