#fixingDate,fixingId,fixingValue
2019-12-23,DKK-CIBOR-3M,-0.0039330000
2019-12-27,DKK-CIBOR-3M,-0.0039670000
2019-12-30,DKK-CIBOR-3M,-0.0039670000
2019-12-23,DKK-CIBOR-6M,-0.0023330000
2019-12-24,DKK-CIBOR-6M,-0.0021670000
2019-12-27,DKK-CIBOR-6M,-0.0023330000
2019-12-30,DKK-CIBOR-6M,-0.0021670000
2019-08-30,DKK-DKKOIS,-0.0045560000
2019-09-02,DKK-DKKOIS,-0.0048470000
2019-09-03,DKK-DKKOIS,-0.0052730000
2019-09-04,DKK-DKKOIS,-0.0050060000
2019-09-05,DKK-DKKOIS,-0.0054340000
2019-09-06,DKK-DKKOIS,-0.0052790000
2019-09-09,DKK-DKKOIS,-0.0052180000
2019-09-10,DKK-DKKOIS,-0.0054810000
2019-09-11,DKK-DKKOIS,-0.0050660000
2019-09-12,DKK-DKKOIS,-0.0060850000
2019-09-13,DKK-DKKOIS,-0.0063370000
2019-09-16,DKK-DKKOIS,-0.0063320000
2019-09-17,DKK-DKKOIS,-0.0063290000
2019-09-18,DKK-DKKOIS,-0.0063610000
2019-09-19,DKK-DKKOIS,-0.0065000000
2019-09-20,DKK-DKKOIS,-0.0064460000
2019-09-23,DKK-DKKOIS,-0.0061660000
2019-09-24,DKK-DKKOIS,-0.0061840000
2019-09-25,DKK-DKKOIS,-0.0059020000
2019-09-26,DKK-DKKOIS,-0.0058980000
2019-09-27,DKK-DKKOIS,-0.0019550000
2019-09-30,DKK-DKKOIS,-0.0044210000
2019-10-01,DKK-DKKOIS,-0.0056730000
2019-10-02,DKK-DKKOIS,-0.0059050000
2019-10-03,DKK-DKKOIS,-0.0064170000
2019-10-04,DKK-DKKOIS,-0.0069860000
2019-10-07,DKK-DKKOIS,-0.0069920000
2019-10-08,DKK-DKKOIS,-0.0069920000
2019-10-09,DKK-DKKOIS,-0.0064530000
2019-10-10,DKK-DKKOIS,-0.0066600000
2019-10-11,DKK-DKKOIS,-0.0059440000
2019-10-14,DKK-DKKOIS,-0.0063680000
2019-10-15,DKK-DKKOIS,-0.0062530000
2019-10-16,DKK-DKKOIS,-0.0065780000
2019-10-17,DKK-DKKOIS,-0.0067080000
2019-10-18,DKK-DKKOIS,-0.0062000000
2019-10-21,DKK-DKKOIS,-0.0062640000
2019-10-22,DKK-DKKOIS,-0.0067280000
2019-10-23,DKK-DKKOIS,-0.0063340000
2019-10-24,DKK-DKKOIS,-0.0068680000
2019-10-25,DKK-DKKOIS,-0.0062460000
2019-10-28,DKK-DKKOIS,-0.0062760000
2019-10-29,DKK-DKKOIS,-0.0068570000
2019-10-30,DKK-DKKOIS,-0.0052420000
2019-10-31,DKK-DKKOIS,-0.0067040000
2019-11-01,DKK-DKKOIS,-0.0067920000
2019-11-04,DKK-DKKOIS,-0.0070330000
2019-11-05,DKK-DKKOIS,-0.0065110000
2019-11-06,DKK-DKKOIS,-0.0062860000
2019-11-07,DKK-DKKOIS,-0.0068730000
2019-11-08,DKK-DKKOIS,-0.0062190000
2019-11-11,DKK-DKKOIS,-0.0063970000
