#datumDate,datumId,datumValue
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/10Y,0.0022000000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/15Y,0.0022000000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/20Y,0.0022125000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/2Y,0.0022750000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/30Y,0.0022250000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/3Y,0.0022375000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/4Y,0.0022250000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/5Y,0.0022125000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/7Y,0.0022000000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/10Y,0.0006271000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/12Y,0.0005696000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/15Y,0.0004973000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/20Y,0.0003943000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/25Y,0.0003291000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/2Y,0.0007012000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/30Y,0.0002786000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/3Y,0.0007411000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/4Y,0.0007415000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/5Y,0.0007367000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/6Y,0.0007225000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/7Y,0.0007036000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/8Y,0.0006797000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/EUR/9Y,0.0006558000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/10Y,0.0007638000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/11Y,0.0007874000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/12Y,0.0008049000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/15Y,0.0008266000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/20Y,0.0008381000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/25Y,0.0008670000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/2Y,0.0008371000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/30Y,0.0008754000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/3Y,0.0005934000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/4Y,0.0005984000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/5Y,0.0006230000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/6Y,0.0006599000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/7Y,0.0007054000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/8Y,0.0007283000
2019-12-30,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/9Y,0.0007373000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/10Y,-0.0016125000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/12Y,-0.0015875000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/15Y,-0.0013875000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/20Y,-0.0009000000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/25Y,-0.0003875000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/2Y,-0.0010750000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/30Y,0.0000250000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/3Y,-0.0012000000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/4Y,-0.0012875000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/5Y,-0.0013500000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/6Y,-0.0014000000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/7Y,-0.0015000000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/8Y,-0.0015375000
2019-12-30,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/9Y,-0.0015750000
2019-12-30,FRA/RATE/EUR/12M/3M,-0.0037000000
2019-12-30,FRA/RATE/EUR/12M/6M,-0.0028000000
2019-12-30,FRA/RATE/EUR/15M/3M,-0.0034500000
2019-12-30,FRA/RATE/EUR/18M/3M,-0.0031500000
2019-12-30,FRA/RATE/EUR/1M/3M,-0.0038500000
2019-12-30,FRA/RATE/EUR/1M/6M,-0.0032200000
2019-12-30,FRA/RATE/EUR/2M/3M,-0.0038500000
2019-12-30,FRA/RATE/EUR/2M/6M,-0.0031900000
2019-12-30,FRA/RATE/EUR/3M/3M,-0.0039000000
2019-12-30,FRA/RATE/EUR/3M/6M,-0.0032000000
2019-12-30,FRA/RATE/EUR/4M/3M,-0.0039000000
2019-12-30,FRA/RATE/EUR/4M/6M,-0.0031800000
2019-12-30,FRA/RATE/EUR/5M/3M,-0.0039000000
2019-12-30,FRA/RATE/EUR/5M/6M,-0.0031000000
2019-12-30,FRA/RATE/EUR/6M/3M,-0.0038830000
2019-12-30,FRA/RATE/EUR/6M/6M,-0.0031000000
2019-12-30,FRA/RATE/EUR/7M/3M,-0.0038000000
2019-12-30,FRA/RATE/EUR/8M/3M,-0.0038000000
