#ParFactor,RawFactor,ParSensitivity
DiscountCurve/EUR/0,DiscountCurve/EUR/0,0.441463042608
DiscountCurve/EUR/0,DiscountCurve/EUR/1,0.544784289651
DiscountCurve/EUR/1,DiscountCurve/EUR/0,-0.136021498051
DiscountCurve/EUR/1,DiscountCurve/EUR/1,0.921493828471
DiscountCurve/EUR/1,DiscountCurve/EUR/2,0.200687728367
DiscountCurve/EUR/2,DiscountCurve/EUR/0,-0.043809979147
DiscountCurve/EUR/2,DiscountCurve/EUR/2,0.942878578227
DiscountCurve/EUR/2,DiscountCurve/EUR/3,0.086667708881
DiscountCurve/EUR/3,DiscountCurve/EUR/0,-0.021648218095
DiscountCurve/EUR/3,DiscountCurve/EUR/3,0.942191085549
DiscountCurve/EUR/3,DiscountCurve/EUR/4,0.064474181389
DiscountCurve/EUR/4,DiscountCurve/EUR/0,-0.014365268842
DiscountCurve/EUR/4,DiscountCurve/EUR/4,0.941271706688
DiscountCurve/EUR/4,DiscountCurve/EUR/5,0.057148942800
DiscountCurve/EUR/5,DiscountCurve/EUR/0,-0.010744816065
DiscountCurve/EUR/5,DiscountCurve/EUR/5,0.972425168198
DiscountCurve/EUR/5,DiscountCurve/EUR/6,0.021519105388
DiscountCurve/EUR/6,DiscountCurve/EUR/0,-0.005369477690
DiscountCurve/EUR/6,DiscountCurve/EUR/5,-0.001712098305
DiscountCurve/EUR/6,DiscountCurve/EUR/6,0.973901656807
DiscountCurve/EUR/6,DiscountCurve/EUR/7,0.016179961009
DiscountCurve/EUR/7,DiscountCurve/EUR/0,-0.003569599928
DiscountCurve/EUR/7,DiscountCurve/EUR/5,-0.001016624662
DiscountCurve/EUR/7,DiscountCurve/EUR/6,-0.002055155924
DiscountCurve/EUR/7,DiscountCurve/EUR/7,0.967971515339
DiscountCurve/EUR/7,DiscountCurve/EUR/8,0.021567230851
DiscountCurve/EUR/8,DiscountCurve/EUR/0,-0.002678509811
DiscountCurve/EUR/8,DiscountCurve/EUR/5,-0.000612039851
DiscountCurve/EUR/8,DiscountCurve/EUR/6,-0.001237257766
DiscountCurve/EUR/8,DiscountCurve/EUR/7,-0.001859265785
DiscountCurve/EUR/8,DiscountCurve/EUR/8,0.972159821482
DiscountCurve/EUR/8,DiscountCurve/EUR/9,0.016840251636
DiscountCurve/EUR/9,DiscountCurve/EUR/0,-0.002142796610
DiscountCurve/EUR/9,DiscountCurve/EUR/5,-0.000342964681
DiscountCurve/EUR/9,DiscountCurve/EUR/6,-0.000693310363
DiscountCurve/EUR/9,DiscountCurve/EUR/7,-0.001041853843
DiscountCurve/EUR/9,DiscountCurve/EUR/8,-0.001390061073
DiscountCurve/EUR/9,DiscountCurve/EUR/9,0.980097261603
DiscountCurve/EUR/9,DiscountCurve/EUR/10,0.007558906782
DiscountCurve/EUR/10,DiscountCurve/EUR/0,-0.001534642146
DiscountCurve/EUR/10,DiscountCurve/EUR/5,0.000072666035
DiscountCurve/EUR/10,DiscountCurve/EUR/6,0.000146895087
DiscountCurve/EUR/10,DiscountCurve/EUR/7,0.000220741454
DiscountCurve/EUR/10,DiscountCurve/EUR/8,0.000294515738
DiscountCurve/EUR/10,DiscountCurve/EUR/9,0.000551549824
DiscountCurve/EUR/10,DiscountCurve/EUR/10,0.974433103512
DiscountCurve/EUR/10,DiscountCurve/EUR/11,0.005098915189
DiscountCurve/EUR/11,DiscountCurve/EUR/0,-0.001084850627
DiscountCurve/EUR/11,DiscountCurve/EUR/5,0.000389322252
DiscountCurve/EUR/11,DiscountCurve/EUR/6,0.000787015325
DiscountCurve/EUR/11,DiscountCurve/EUR/7,0.001182654764
DiscountCurve/EUR/11,DiscountCurve/EUR/8,0.001577904679
DiscountCurve/EUR/11,DiscountCurve/EUR/9,0.002954953359
DiscountCurve/EUR/11,DiscountCurve/EUR/10,0.006777177839
DiscountCurve/EUR/11,DiscountCurve/EUR/11,0.957058074243
DiscountCurve/EUR/11,DiscountCurve/EUR/12,0.003139582538
DiscountCurve/EUR/12,DiscountCurve/EUR/0,-0.000742288292
DiscountCurve/EUR/12,DiscountCurve/EUR/5,0.000504763528
DiscountCurve/EUR/12,DiscountCurve/EUR/6,0.001020376684
DiscountCurve/EUR/12,DiscountCurve/EUR/7,0.001533323980
DiscountCurve/EUR/12,DiscountCurve/EUR/8,0.002045762964
DiscountCurve/EUR/12,DiscountCurve/EUR/9,0.003831072068
DiscountCurve/EUR/12,DiscountCurve/EUR/10,0.008786281089
DiscountCurve/EUR/12,DiscountCurve/EUR/11,0.019268115314
DiscountCurve/EUR/12,DiscountCurve/EUR/12,0.924057047349
DiscountCurve/EUR/12,DiscountCurve/EUR/13,0.003332824699
DiscountCurve/EUR/13,DiscountCurve/EUR/0,-0.000573813854
DiscountCurve/EUR/13,DiscountCurve/EUR/5,0.000471442046
DiscountCurve/EUR/13,DiscountCurve/EUR/6,0.000953015979
DiscountCurve/EUR/13,DiscountCurve/EUR/7,0.001432098525
DiscountCurve/EUR/13,DiscountCurve/EUR/8,0.001910704806
DiscountCurve/EUR/13,DiscountCurve/EUR/9,0.003578130841
DiscountCurve/EUR/13,DiscountCurve/EUR/10,0.008206053789
DiscountCurve/EUR/13,DiscountCurve/EUR/11,0.017995108946
DiscountCurve/EUR/13,DiscountCurve/EUR/12,0.031662718093
DiscountCurve/EUR/13,DiscountCurve/EUR/13,0.890401034457
DiscountCurve/EUR/13,DiscountCurve/EUR/14,0.003603177283
DiscountCurve/EUR/14,DiscountCurve/EUR/0,-0.000473129911
DiscountCurve/EUR/14,DiscountCurve/EUR/5,0.000411416636
DiscountCurve/EUR/14,DiscountCurve/EUR/6,0.000831674347
DiscountCurve/EUR/14,DiscountCurve/EUR/7,0.001249757094
DiscountCurve/EUR/14,DiscountCurve/EUR/8,0.001667423430
DiscountCurve/EUR/14,DiscountCurve/EUR/9,0.003122533408
DiscountCurve/EUR/14,DiscountCurve/EUR/10,0.007161125319
DiscountCurve/EUR/14,DiscountCurve/EUR/11,0.015703375480
DiscountCurve/EUR/14,DiscountCurve/EUR/12,0.027629627475
DiscountCurve/EUR/14,DiscountCurve/EUR/13,0.034348708942
DiscountCurve/EUR/14,DiscountCurve/EUR/14,0.865548776279
DiscountCurve/EUR/14,DiscountCurve/EUR/15,0.003361591572
DiscountCurve/EUR/15,DiscountCurve/EUR/0,-0.000406028878
DiscountCurve/EUR/15,DiscountCurve/EUR/5,0.000363329840
DiscountCurve/EUR/15,DiscountCurve/EUR/6,0.000734466938
DiscountCurve/EUR/15,DiscountCurve/EUR/7,0.001103682820
DiscountCurve/EUR/15,DiscountCurve/EUR/8,0.001472530497
DiscountCurve/EUR/15,DiscountCurve/EUR/9,0.002757557270
DiscountCurve/EUR/15,DiscountCurve/EUR/10,0.006324061444
DiscountCurve/EUR/15,DiscountCurve/EUR/11,0.013867629740
DiscountCurve/EUR/15,DiscountCurve/EUR/12,0.024399248788
DiscountCurve/EUR/15,DiscountCurve/EUR/13,0.030332447280
DiscountCurve/EUR/15,DiscountCurve/EUR/14,0.034148725590
DiscountCurve/EUR/15,DiscountCurve/EUR/15,0.846712784903
DiscountCurve/GBP/0,DiscountCurve/GBP/0,1.000281333898
DiscountCurve/GBP/1,DiscountCurve/GBP/1,0.905375654997
DiscountCurve/GBP/1,DiscountCurve/GBP/2,0.095246673044
DiscountCurve/GBP/2,DiscountCurve/GBP/2,1.001809956631
DiscountCurve/GBP/3,DiscountCurve/GBP/3,1.003568989055
DiscountCurve/GBP/4,DiscountCurve/GBP/4,0.976207023573
DiscountCurve/GBP/4,DiscountCurve/GBP/5,0.028976402355
DiscountCurve/GBP/5,DiscountCurve/GBP/3,0.001715348613
DiscountCurve/GBP/5,DiscountCurve/GBP/5,0.996344880059
DiscountCurve/GBP/5,DiscountCurve/GBP/6,0.005466941944
DiscountCurve/GBP/6,DiscountCurve/GBP/3,0.000345731246
DiscountCurve/GBP/6,DiscountCurve/GBP/5,0.001048132730
DiscountCurve/GBP/6,DiscountCurve/GBP/6,1.002085535736
DiscountCurve/GBP/7,DiscountCurve/GBP/3,0.000240855695
DiscountCurve/GBP/7,DiscountCurve/GBP/5,0.000730181662
DiscountCurve/GBP/7,DiscountCurve/GBP/6,0.001935144937
DiscountCurve/GBP/7,DiscountCurve/GBP/7,0.999758938270
DiscountCurve/GBP/8,DiscountCurve/GBP/3,0.000203343425
DiscountCurve/GBP/8,DiscountCurve/GBP/5,0.000616456326
DiscountCurve/GBP/8,DiscountCurve/GBP/6,0.001633730441
DiscountCurve/GBP/8,DiscountCurve/GBP/7,0.002442721917
DiscountCurve/GBP/8,DiscountCurve/GBP/8,0.997037370862
DiscountCurve/GBP/9,DiscountCurve/GBP/3,0.000196039245
DiscountCurve/GBP/9,DiscountCurve/GBP/5,0.000594311464
DiscountCurve/GBP/9,DiscountCurve/GBP/6,0.001575032438
