#RawFactor(z),ParFactor(c),dz/dc
DiscountCurve/EUR/0,DiscountCurve/EUR/0,1.935713274422
DiscountCurve/EUR/1,DiscountCurve/EUR/0,0.266993984630
DiscountCurve/EUR/2,DiscountCurve/EUR/0,0.086030722707
DiscountCurve/EUR/3,DiscountCurve/EUR/0,0.042542173141
DiscountCurve/EUR/4,DiscountCurve/EUR/0,0.028257618810
DiscountCurve/EUR/5,DiscountCurve/EUR/0,0.021154275889
DiscountCurve/EUR/6,DiscountCurve/EUR/0,0.010592113172
DiscountCurve/EUR/7,DiscountCurve/EUR/0,0.007064966021
DiscountCurve/EUR/8,DiscountCurve/EUR/0,0.005300193764
DiscountCurve/EUR/9,DiscountCurve/EUR/0,0.004238633650
DiscountCurve/EUR/10,DiscountCurve/EUR/0,0.003028699296
DiscountCurve/EUR/11,DiscountCurve/EUR/0,0.002120225911
DiscountCurve/EUR/12,DiscountCurve/EUR/0,0.001413828618
DiscountCurve/EUR/13,DiscountCurve/EUR/0,0.001060678746
DiscountCurve/EUR/14,DiscountCurve/EUR/0,0.000848676380
DiscountCurve/EUR/15,DiscountCurve/EUR/0,0.000707433224
DiscountCurve/USD/0,DiscountCurve/EUR/0,1.935705849766
DiscountCurve/USD/1,DiscountCurve/EUR/0,0.266992148719
DiscountCurve/USD/2,DiscountCurve/EUR/0,0.086028601427
DiscountCurve/USD/3,DiscountCurve/EUR/0,0.042540051913
DiscountCurve/USD/4,DiscountCurve/EUR/0,0.028255448949
DiscountCurve/USD/5,DiscountCurve/EUR/0,0.021157423386
DiscountCurve/USD/6,DiscountCurve/EUR/0,0.010593953182
DiscountCurve/USD/7,DiscountCurve/EUR/0,0.007066078044
DiscountCurve/USD/8,DiscountCurve/EUR/0,0.005301314110
DiscountCurve/USD/9,DiscountCurve/EUR/0,0.004239813653
DiscountCurve/USD/10,DiscountCurve/EUR/0,0.003029619627
DiscountCurve/USD/11,DiscountCurve/EUR/0,0.002120811657
DiscountCurve/USD/12,DiscountCurve/EUR/0,0.001414088359
DiscountCurve/USD/13,DiscountCurve/EUR/0,0.001060688547
DiscountCurve/USD/14,DiscountCurve/EUR/0,0.000848577491
DiscountCurve/USD/15,DiscountCurve/EUR/0,0.000707297203
IndexCurve/EUR-EONIA/0,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EONIA/1,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EONIA/2,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EONIA/3,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EONIA/4,DiscountCurve/EUR/0,0.000000000000
