#datumDate,datumId,datumValue
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/10Y,0.0027625000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/15Y,0.0028250000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/20Y,0.0028625000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/2Y,0.0026125000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/30Y,0.0028875000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/3Y,0.0026250000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/4Y,0.0026375000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/5Y,0.0026750000
2023-01-31,BASIS_SWAP/BASIS_SPREAD/3M/1D/USD/7Y,0.0027125000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/10M,0.0488500000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/11M,0.0487300000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/1M,0.0459800000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/1Y,0.0485200000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/2M,0.0464400000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/2W,0.0459400000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/3M,0.0470700000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/4M,0.0477200000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/5M,0.0481800000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/6M,0.0485000000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/7M,0.0487300000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/8M,0.0488400000
2023-01-31,IR_SWAP/RATE/USD/2D/1D/9M,0.0489100000
2023-01-31,IR_SWAP/RATE/USD/2D/3M/10Y,0.0348959994
2023-01-31,IR_SWAP/RATE/USD/2D/3M/15Y,0.0349020004
2023-01-31,IR_SWAP/RATE/USD/2D/3M/20Y,0.0345219994
2023-01-31,IR_SWAP/RATE/USD/2D/3M/2Y,0.0447839999
2023-01-31,IR_SWAP/RATE/USD/2D/3M/30Y,0.0324259996
2023-01-31,IR_SWAP/RATE/USD/2D/3M/3Y,0.0404299998
2023-01-31,IR_SWAP/RATE/USD/2D/3M/4Y,0.0380399990
2023-01-31,IR_SWAP/RATE/USD/2D/3M/5Y,0.0367925000
2023-01-31,IR_SWAP/RATE/USD/2D/3M/7Y,0.0355124998
2023-01-31,MM/RATE/USD/0D/1D,0.0433000000
