#ParFactor,RawFactor,ParSensitivity
DiscountCurve/EUR/0,DiscountCurve/EUR/0,0.986256364662
DiscountCurve/EUR/1,DiscountCurve/EUR/0,-0.136021792147
DiscountCurve/EUR/1,DiscountCurve/EUR/1,1.122185472946
DiscountCurve/EUR/2,DiscountCurve/EUR/0,-0.043809958892
DiscountCurve/EUR/2,DiscountCurve/EUR/2,1.029547855182
DiscountCurve/EUR/3,DiscountCurve/EUR/0,-0.021648699642
DiscountCurve/EUR/3,DiscountCurve/EUR/3,1.006690734571
DiscountCurve/EUR/4,DiscountCurve/EUR/0,-0.014365032181
DiscountCurve/EUR/4,DiscountCurve/EUR/4,0.998408304740
DiscountCurve/EUR/5,DiscountCurve/EUR/0,-0.010744909439
DiscountCurve/EUR/5,DiscountCurve/EUR/5,0.993955045370
DiscountCurve/EUR/6,DiscountCurve/EUR/0,-0.005369446731
DiscountCurve/EUR/6,DiscountCurve/EUR/5,-0.001755002704
DiscountCurve/EUR/6,DiscountCurve/EUR/6,0.990122719237
DiscountCurve/EUR/7,DiscountCurve/EUR/0,-0.003569553217
DiscountCurve/EUR/7,DiscountCurve/EUR/5,-0.001042142822
DiscountCurve/EUR/7,DiscountCurve/EUR/6,-0.002072487483
DiscountCurve/EUR/7,DiscountCurve/EUR/7,0.989574582904
DiscountCurve/EUR/8,DiscountCurve/EUR/0,-0.002678466959
DiscountCurve/EUR/8,DiscountCurve/EUR/5,-0.000627103028
DiscountCurve/EUR/8,DiscountCurve/EUR/6,-0.001247096221
DiscountCurve/EUR/8,DiscountCurve/EUR/7,-0.001884531483
DiscountCurve/EUR/8,DiscountCurve/EUR/8,0.989038684263
DiscountCurve/EUR/9,DiscountCurve/EUR/0,-0.002142745907
DiscountCurve/EUR/9,DiscountCurve/EUR/5,-0.000352700632
DiscountCurve/EUR/9,DiscountCurve/EUR/6,-0.000701398986
DiscountCurve/EUR/9,DiscountCurve/EUR/7,-0.001059903525
DiscountCurve/EUR/9,DiscountCurve/EUR/8,-0.001399334963
DiscountCurve/EUR/9,DiscountCurve/EUR/9,0.987695826708
DiscountCurve/EUR/10,DiscountCurve/EUR/0,-0.001534601570
DiscountCurve/EUR/10,DiscountCurve/EUR/5,0.000073298217
DiscountCurve/EUR/10,DiscountCurve/EUR/6,0.000145763854
DiscountCurve/EUR/10,DiscountCurve/EUR/7,0.000220266532
DiscountCurve/EUR/10,DiscountCurve/EUR/8,0.000290804730
DiscountCurve/EUR/10,DiscountCurve/EUR/9,0.000544532797
DiscountCurve/EUR/10,DiscountCurve/EUR/10,0.979534674808
DiscountCurve/EUR/11,DiscountCurve/EUR/0,-0.001084826978
DiscountCurve/EUR/11,DiscountCurve/EUR/5,0.000397842320
DiscountCurve/EUR/11,DiscountCurve/EUR/6,0.000791162307
DiscountCurve/EUR/11,DiscountCurve/EUR/7,0.001195535249
DiscountCurve/EUR/11,DiscountCurve/EUR/8,0.001578387247
DiscountCurve/EUR/11,DiscountCurve/EUR/9,0.002955491814
DiscountCurve/EUR/11,DiscountCurve/EUR/10,0.006785786497
