#datumDate,datumId,datumValue
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/10Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/12Y,-0.0012560000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/15Y,-0.0011990000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/20Y,-0.0012450000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/25Y,-0.0012190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/2Y,-0.0015190000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/30Y,-0.0011930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/3Y,-0.0013520000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/4Y,-0.0012940000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/5Y,-0.0012250000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/6Y,-0.0012390000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/7Y,-0.0010970000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/8Y,-0.0011200000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/3M/6M/USD/9Y,-0.0012410000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/10Y,-0.0013530000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/11Y,-0.0013380000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/12Y,-0.0012170000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/15Y,-0.0011480000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/20Y,-0.0009930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/25Y,-0.0009530000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/2Y,-0.0016930000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/30Y,-0.0007980000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/3Y,-0.0017040000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/4Y,-0.0016910000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/5Y,-0.0016710000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/6Y,-0.0017350000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/8Y,-0.0014370000
2016-02-05,BASIS_SWAP/BASIS_SPREAD/6M/12M/EUR/9Y,-0.0015000000
2016-02-05,BOND/YIELD_SPREAD/SECURITY_1,0.0000000000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/-0.01,0.0058779000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0,0.0059103000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.01,0.0063954000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.02,0.0070821000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.03,0.0077670000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.04,0.0084771000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.05,0.0092304000
