#Scenario,Key,Factor,BaseValue,ShiftSize
parallel_rates,DiscountCurve/EUR/0,DiscountCurve/EUR/0/2W,0.00879780,0.00010000
parallel_rates,DiscountCurve/EUR/1,DiscountCurve/EUR/1/1M,0.00834247,0.00010000
parallel_rates,DiscountCurve/EUR/2,DiscountCurve/EUR/2/3M,0.00770493,0.00010000
parallel_rates,DiscountCurve/EUR/3,DiscountCurve/EUR/3/6M,0.00740102,0.00010000
parallel_rates,DiscountCurve/EUR/4,DiscountCurve/EUR/4/9M,0.00695061,0.00010000
parallel_rates,DiscountCurve/EUR/5,DiscountCurve/EUR/5/1Y,0.00683857,0.00010000
parallel_rates,DiscountCurve/EUR/6,DiscountCurve/EUR/6/2Y,0.00649851,0.00010000
parallel_rates,DiscountCurve/EUR/7,DiscountCurve/EUR/7/3Y,0.00685935,0.00010000
parallel_rates,DiscountCurve/EUR/8,DiscountCurve/EUR/8/4Y,0.00747483,0.00010000
parallel_rates,DiscountCurve/EUR/9,DiscountCurve/EUR/9/5Y,0.00821975,0.00010000
parallel_rates,DiscountCurve/EUR/10,DiscountCurve/EUR/10/7Y,0.01050308,0.00010000
parallel_rates,DiscountCurve/EUR/11,DiscountCurve/EUR/11/10Y,0.01398599,0.00010000
parallel_rates,DiscountCurve/EUR/12,DiscountCurve/EUR/12/15Y,0.01765767,0.00010000
parallel_rates,DiscountCurve/EUR/13,DiscountCurve/EUR/13/20Y,0.01930009,0.00010000
parallel_rates,DiscountCurve/EUR/14,DiscountCurve/EUR/14/25Y,0.01983192,0.00010000
parallel_rates,DiscountCurve/EUR/15,DiscountCurve/EUR/15/30Y,0.02010060,0.00010000
parallel_rates,DiscountCurve/GBP/0,DiscountCurve/GBP/0/2W,0.01728374,0.00010000
parallel_rates,DiscountCurve/GBP/1,DiscountCurve/GBP/1/1M,0.01728374,0.00010000
parallel_rates,DiscountCurve/GBP/2,DiscountCurve/GBP/2/3M,0.01728374,0.00010000
parallel_rates,DiscountCurve/GBP/3,DiscountCurve/GBP/3/6M,0.01709485,0.00010000
parallel_rates,DiscountCurve/GBP/4,DiscountCurve/GBP/4/9M,0.01678567,0.00010000
parallel_rates,DiscountCurve/GBP/5,DiscountCurve/GBP/5/1Y,0.01693542,0.00010000
parallel_rates,DiscountCurve/GBP/6,DiscountCurve/GBP/6/2Y,0.01277146,0.00010000
parallel_rates,DiscountCurve/GBP/7,DiscountCurve/GBP/7/3Y,0.01289487,0.00010000
parallel_rates,DiscountCurve/GBP/8,DiscountCurve/GBP/8/4Y,0.01325591,0.00010000
parallel_rates,DiscountCurve/GBP/9,DiscountCurve/GBP/9/5Y,0.01392221,0.00010000
parallel_rates,DiscountCurve/GBP/10,DiscountCurve/GBP/10/7Y,0.01594424,0.00010000
parallel_rates,DiscountCurve/GBP/11,DiscountCurve/GBP/11/10Y,0.01925481,0.00010000
parallel_rates,DiscountCurve/GBP/12,DiscountCurve/GBP/12/15Y,0.02230856,0.00010000
