#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
EqSwap_STOXX_decomp,EquitySwap,1,0,2016-08-05,Interest,-25682.2222,EUR,0.0050800000,0.5055555556,2016-02-05,2016-08-05,0.0000,2016-02-03,0.0000800000,10000000.0000,1.0012967693,-25715.5261392915,1.0000000000,-25715.5261392915,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqSwap_STOXX_decomp,EquitySwap,2,0,2017-02-06,InterestProjected,-22240.5146,EUR,0.0043278839,0.5138888889,2016-08-05,2017-02-06,0.0000,2016-08-03,-0.0006721161,10000000.0000,1.0031836048,-22311.3196263272,1.0000000000,-22311.3196263272,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqSwap_STOXX_decomp,EquitySwap,1,1,2016-08-05,Interest,-2698199.7039,EUR,-0.2698199704,0.5055555556,2016-02-05,2016-08-05,0.0000,2016-08-03,2130.6924006542,10000000.0000,1.0012967693,-2701698.6463730573,1.0000000000,-2701698.6463730573,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqSwap_STOXX_decomp,EquitySwap,2,1,2017-02-06,Interest,-18700.3738,EUR,-0.0018700374,0.5138888889,2016-08-05,2017-02-06,0.0000,2017-02-02,2105.0432176346,10000000.0000,1.0031836048,-18759.9083581460,1.0000000000,-18759.9083581460,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,1,0,2016-03-21,Interest,-455.0000,EUR,0.0060000000,0.2527777778,2015-12-21,2016-03-21,-230.0000,#N/A,#N/A,300000.0000,1.0002362202,-455.1074801746,1.0000000000,-455.1074801746,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,2,0,2016-06-20,Interest,-455.0000,EUR,0.0060000000,0.2527777778,2016-03-21,2016-06-20,0.0000,#N/A,#N/A,300000.0000,1.0009471276,-455.4309430753,1.0000000000,-455.4309430753,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,3,0,2016-09-20,Interest,-460.0000,EUR,0.0060000000,0.2555555556,2016-06-20,2016-09-20,0.0000,#N/A,#N/A,300000.0000,1.0017724049,-460.8153062658,1.0000000000,-460.8153062658,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,4,0,2016-12-20,Interest,-455.0000,EUR,0.0060000000,0.2527777778,2016-09-20,2016-12-20,0.0000,#N/A,#N/A,300000.0000,1.0027543228,-456.2532168544,1.0000000000,-456.2532168544,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,5,0,2017-03-20,Interest,-450.0000,EUR,0.0060000000,0.2500000000,2016-12-20,2017-03-20,0.0000,#N/A,#N/A,300000.0000,1.0036490309,-451.6420639043,1.0000000000,-451.6420639043,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INDEX_CDS,IndexCreditDefaultSwap,6,0,2017-06-20,Interest,-460.0000,EUR,0.0060000000,0.2555555556,2017-03-20,2017-06-20,0.0000,#N/A,#N/A,300000.0000,1.0046152400,-462.1230103994,1.0000000000,-462.1230103994,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
