#RawFactor(z),ParFactor(c),dz/dc
DiscountCurve/EUR/0,DiscountCurve/EUR/0,1.013935155027
DiscountCurve/EUR/1,DiscountCurve/EUR/0,0.122900607994
DiscountCurve/EUR/2,DiscountCurve/EUR/0,0.043145597591
DiscountCurve/EUR/3,DiscountCurve/EUR/0,0.021804489575
DiscountCurve/EUR/4,DiscountCurve/EUR/0,0.014588431469
DiscountCurve/EUR/5,DiscountCurve/EUR/0,0.010960899558
DiscountCurve/EUR/6,DiscountCurve/EUR/0,0.005518010148
DiscountCurve/EUR/7,DiscountCurve/EUR/0,0.003680525336
DiscountCurve/EUR/8,DiscountCurve/EUR/0,0.002766810868
DiscountCurve/EUR/9,DiscountCurve/EUR/0,0.002215372673
DiscountCurve/EUR/10,DiscountCurve/EUR/0,0.001583973634
DiscountCurve/EUR/11,DiscountCurve/EUR/0,0.001109372608
DiscountCurve/EUR/12,DiscountCurve/EUR/0,0.000739898317
DiscountCurve/EUR/13,DiscountCurve/EUR/0,0.000555136533
DiscountCurve/EUR/14,DiscountCurve/EUR/0,0.000444252646
DiscountCurve/EUR/15,DiscountCurve/EUR/0,0.000370419474
DiscountCurve/USD/0,DiscountCurve/EUR/0,1.013931265964
DiscountCurve/USD/1,DiscountCurve/EUR/0,0.191882642915
DiscountCurve/USD/2,DiscountCurve/EUR/0,0.045062141302
DiscountCurve/USD/3,DiscountCurve/EUR/0,0.022282645775
DiscountCurve/USD/4,DiscountCurve/EUR/0,0.014693057550
DiscountCurve/USD/5,DiscountCurve/EUR/0,0.010962593910
DiscountCurve/USD/6,DiscountCurve/EUR/0,0.005519003687
DiscountCurve/USD/7,DiscountCurve/EUR/0,0.003681127146
DiscountCurve/USD/8,DiscountCurve/EUR/0,0.002767424521
DiscountCurve/USD/9,DiscountCurve/EUR/0,0.002216025932
DiscountCurve/USD/10,DiscountCurve/EUR/0,0.001584483487
DiscountCurve/USD/11,DiscountCurve/EUR/0,0.001109700342
DiscountCurve/USD/12,DiscountCurve/EUR/0,0.000740047083
DiscountCurve/USD/13,DiscountCurve/EUR/0,0.000555149769
DiscountCurve/USD/14,DiscountCurve/EUR/0,0.000444207348
DiscountCurve/USD/15,DiscountCurve/EUR/0,0.000370360230
IndexCurve/EUR-EONIA/6,DiscountCurve/EUR/0,-0.000000000094
IndexCurve/EUR-EONIA/7,DiscountCurve/EUR/0,0.000000000097
IndexCurve/EUR-EONIA/8,DiscountCurve/EUR/0,0.000000000314
IndexCurve/EUR-EONIA/9,DiscountCurve/EUR/0,0.000000000534
IndexCurve/EUR-EONIA/10,DiscountCurve/EUR/0,0.000000002761
IndexCurve/EUR-EONIA/11,DiscountCurve/EUR/0,0.000000006438
IndexCurve/EUR-EONIA/12,DiscountCurve/EUR/0,0.000000010568
IndexCurve/EUR-EONIA/13,DiscountCurve/EUR/0,0.000000011321
IndexCurve/EUR-EONIA/14,DiscountCurve/EUR/0,0.000000010007
IndexCurve/EUR-EONIA/15,DiscountCurve/EUR/0,0.000000008535
IndexCurve/EUR-EURIBOR-1M/5,DiscountCurve/EUR/0,0.000000000576
IndexCurve/EUR-EURIBOR-1M/6,DiscountCurve/EUR/0,-0.000000000130
IndexCurve/EUR-EURIBOR-1M/7,DiscountCurve/EUR/0,-0.000000000152
IndexCurve/EUR-EURIBOR-1M/8,DiscountCurve/EUR/0,0.000000000261
IndexCurve/EUR-EURIBOR-1M/9,DiscountCurve/EUR/0,0.000000001055
IndexCurve/EUR-EURIBOR-1M/10,DiscountCurve/EUR/0,0.000000003530
IndexCurve/EUR-EURIBOR-1M/11,DiscountCurve/EUR/0,0.000000007676
IndexCurve/EUR-EURIBOR-1M/12,DiscountCurve/EUR/0,0.000000011789
IndexCurve/EUR-EURIBOR-1M/13,DiscountCurve/EUR/0,0.000000011779
IndexCurve/EUR-EURIBOR-1M/14,DiscountCurve/EUR/0,0.000000010707
IndexCurve/EUR-EURIBOR-1M/15,DiscountCurve/EUR/0,0.000000008449
IndexCurve/EUR-EURIBOR-3M/5,DiscountCurve/EUR/0,0.000000000670
IndexCurve/EUR-EURIBOR-3M/6,DiscountCurve/EUR/0,-0.000000000060
IndexCurve/EUR-EURIBOR-3M/7,DiscountCurve/EUR/0,-0.000000000084
IndexCurve/EUR-EURIBOR-3M/8,DiscountCurve/EUR/0,0.000000000318
IndexCurve/EUR-EURIBOR-3M/9,DiscountCurve/EUR/0,0.000000001083
IndexCurve/EUR-EURIBOR-3M/10,DiscountCurve/EUR/0,0.000000003525
IndexCurve/EUR-EURIBOR-3M/11,DiscountCurve/EUR/0,0.000000007634
IndexCurve/EUR-EURIBOR-3M/12,DiscountCurve/EUR/0,0.000000011753
IndexCurve/EUR-EURIBOR-3M/13,DiscountCurve/EUR/0,0.000000011754
IndexCurve/EUR-EURIBOR-3M/14,DiscountCurve/EUR/0,0.000000010666
IndexCurve/EUR-EURIBOR-3M/15,DiscountCurve/EUR/0,0.000000008403
IndexCurve/EUR-EURIBOR-6M/5,DiscountCurve/EUR/0,-0.000000000069
IndexCurve/EUR-EURIBOR-6M/6,DiscountCurve/EUR/0,-0.000000000090
IndexCurve/EUR-EURIBOR-6M/7,DiscountCurve/EUR/0,0.000000000105
IndexCurve/EUR-EURIBOR-6M/8,DiscountCurve/EUR/0,0.000000000696
IndexCurve/EUR-EURIBOR-6M/9,DiscountCurve/EUR/0,0.000000001478
IndexCurve/EUR-EURIBOR-6M/10,DiscountCurve/EUR/0,0.000000003833
IndexCurve/EUR-EURIBOR-6M/11,DiscountCurve/EUR/0,0.000000007486
IndexCurve/EUR-EURIBOR-6M/12,DiscountCurve/EUR/0,0.000000010687
IndexCurve/EUR-EURIBOR-6M/13,DiscountCurve/EUR/0,0.000000011065
IndexCurve/EUR-EURIBOR-6M/14,DiscountCurve/EUR/0,0.000000009648
IndexCurve/EUR-EURIBOR-6M/15,DiscountCurve/EUR/0,0.000000007485
IndexCurve/USD-LIBOR-3M/5,DiscountCurve/EUR/0,-0.000000004837
IndexCurve/USD-LIBOR-3M/6,DiscountCurve/EUR/0,-0.000000001768
IndexCurve/USD-LIBOR-3M/7,DiscountCurve/EUR/0,0.000000000042
IndexCurve/USD-LIBOR-3M/8,DiscountCurve/EUR/0,0.000000001353
