#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M,Up,-2768437.58,0.000100,#N/A,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M,Up,-2768437.58,0.000100,#N/A,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/4/9M,Up,-2768437.58,0.000100,#N/A,-2768437.48,0.10
EqSwap_STOXX_decomp,DiscountCurve/EUR/5/1Y,Up,-2768437.58,0.000100,#N/A,-2768433.55,4.04
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M,Down,-2768437.58,0.000100,#N/A,-2768440.64,-3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M,Down,-2768437.58,0.000100,#N/A,-2768570.52,-132.94
EqSwap_STOXX_decomp,DiscountCurve/EUR/4/9M,Down,-2768437.58,0.000100,#N/A,-2768437.68,-0.10
EqSwap_STOXX_decomp,DiscountCurve/EUR/5/1Y,Down,-2768437.58,0.000100,#N/A,-2768441.62,-4.04
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/2/3M,Up,-2768437.58,0.000100,#N/A,-2768442.23,-4.65
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/3/6M,Up,-2768437.58,0.000100,#N/A,-2768569.44,-131.86
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/4/9M,Up,-2768437.58,0.000100,#N/A,-2768379.17,58.41
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/5/1Y,Up,-2768437.58,0.000100,#N/A,-2767493.50,944.08
EqSwap_STOXX_decomp,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,-2768437.58,0.000100,#N/A,-2768426.35,11.23
EqSwap_STOXX_decomp,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,-2768437.58,0.000100,#N/A,-2767948.78,488.80
EqSwap_STOXX_decomp,IndexCurve/EUR-EURIBOR-6M/4/9M,Up,-2768437.58,0.000100,#N/A,-2768462.49,-24.91
EqSwap_STOXX_decomp,IndexCurve/EUR-EURIBOR-6M/5/1Y,Up,-2768437.58,0.000100,#N/A,-2769421.05,-983.47
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/2/3M,Down,-2768437.58,0.000100,#N/A,-2768432.93,4.65
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/3/6M,Down,-2768437.58,0.000100,#N/A,-2768305.69,131.90
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/4/9M,Down,-2768437.58,0.000100,#N/A,-2768496.00,-58.41
EqSwap_STOXX_decomp,IndexCurve/EUR-EONIA/5/1Y,Down,-2768437.58,0.000100,#N/A,-2769381.58,-944.00
