#ParKey,BaseParRate,ScenarioParRate
DiscountCurve/EUR/0,-0.001222662772,-0.001122662772
DiscountCurve/EUR/1,-0.001797769422,-0.001697769422
DiscountCurve/EUR/2,-0.002339060770,-0.002239060770
DiscountCurve/EUR/3,-0.002577053429,-0.002477053429
DiscountCurve/EUR/4,-0.003058708349,-0.002958708349
DiscountCurve/EUR/5,-0.003133033858,-0.003033033858
DiscountCurve/EUR/6,-0.003464512753,-0.003364512753
DiscountCurve/EUR/7,-0.003094672300,-0.002994672300
DiscountCurve/EUR/8,-0.002481747213,-0.002381747213
DiscountCurve/EUR/9,-0.001744788126,-0.001644788126
DiscountCurve/EUR/10,0.000506299384,0.000606299384
DiscountCurve/EUR/11,0.003887424511,0.003987424511
DiscountCurve/EUR/12,0.007368587499,0.007468587499
DiscountCurve/EUR/13,0.008903268452,0.009003268452
DiscountCurve/EUR/14,0.009421708045,0.009521708045
DiscountCurve/EUR/15,0.009695271148,0.009795271148
DiscountCurve/USD/0,1.132759111646,1.132859111646
DiscountCurve/USD/1,1.133317398213,1.133417398213
DiscountCurve/USD/2,1.135353003616,1.135453003616
DiscountCurve/USD/3,1.138988829145,1.139088829145
DiscountCurve/USD/4,1.143029294589,1.143129294589
DiscountCurve/USD/5,-0.003018992772,-0.002918992772
DiscountCurve/USD/6,-0.005657444681,-0.005557444681
DiscountCurve/USD/7,-0.006103312589,-0.006003312589
DiscountCurve/USD/8,-0.006488711785,-0.006388711785
DiscountCurve/USD/9,-0.006537368022,-0.006437368022
DiscountCurve/USD/10,-0.006726548007,-0.006626548007
DiscountCurve/USD/11,-0.006428305096,-0.006328305096
DiscountCurve/USD/12,-0.005756661468,-0.005656661468
DiscountCurve/USD/13,-0.005112359158,-0.005012359158
DiscountCurve/USD/14,-0.005041504394,-0.004941504394
DiscountCurve/USD/15,-0.004604270866,-0.004504270866
IndexCurve/EUR-EONIA/0,-0.001222662772,-0.001122662772
IndexCurve/EUR-EONIA/1,-0.001797769422,-0.001697769422
IndexCurve/EUR-EONIA/2,-0.002339060770,-0.002239060770
IndexCurve/EUR-EONIA/3,-0.002577053429,-0.002477053429
IndexCurve/EUR-EONIA/4,-0.003058708349,-0.002958708349
IndexCurve/EUR-EONIA/5,-0.003133033858,-0.003033033858
IndexCurve/EUR-EONIA/6,-0.003464512753,-0.003364512753
IndexCurve/EUR-EONIA/7,-0.003094672300,-0.002994672300
IndexCurve/EUR-EONIA/8,-0.002481747213,-0.002381747213
IndexCurve/EUR-EONIA/9,-0.001744788126,-0.001644788126
IndexCurve/EUR-EONIA/10,0.000506299384,0.000606299384
IndexCurve/EUR-EONIA/11,0.003887424511,0.003987424511
IndexCurve/EUR-EONIA/12,0.007368587499,0.007468587499
IndexCurve/EUR-EONIA/13,0.008903268452,0.009003268452
IndexCurve/EUR-EONIA/14,0.009421708045,0.009521708045
IndexCurve/EUR-EONIA/15,0.009695271148,0.009795271148
IndexCurve/EUR-EURIBOR-1M/0,-0.000453987462,-0.000353987462
IndexCurve/EUR-EURIBOR-1M/1,-0.000371070144,-0.000271070144
IndexCurve/EUR-EURIBOR-1M/2,-0.000127533704,-0.000027533704
IndexCurve/EUR-EURIBOR-1M/3,-0.000946136862,-0.000846136862
IndexCurve/EUR-EURIBOR-1M/4,-0.001276846312,-0.001176846312
IndexCurve/EUR-EURIBOR-1M/5,-0.001542205265,-0.001442205265
IndexCurve/EUR-EURIBOR-1M/6,-0.001808348041,-0.001708348041
IndexCurve/EUR-EURIBOR-1M/7,-0.001469193871,-0.001369193871
IndexCurve/EUR-EURIBOR-1M/8,-0.000782197334,-0.000682197334
IndexCurve/EUR-EURIBOR-1M/9,0.000102693949,0.000202693949
IndexCurve/EUR-EURIBOR-1M/10,0.002232607123,0.002332607123
IndexCurve/EUR-EURIBOR-1M/11,0.005693903716,0.005793903716
IndexCurve/EUR-EURIBOR-1M/12,0.009216127808,0.009316127808
IndexCurve/EUR-EURIBOR-1M/13,0.010404378705,0.010504378705
IndexCurve/EUR-EURIBOR-1M/14,0.010962041477,0.011062041477
IndexCurve/EUR-EURIBOR-1M/15,0.010902920984,0.011002920984
IndexCurve/EUR-EURIBOR-3M/0,-0.000453987462,-0.000353987462
IndexCurve/EUR-EURIBOR-3M/1,-0.000371070144,-0.000271070144
IndexCurve/EUR-EURIBOR-3M/2,-0.000127533704,-0.000027533704
IndexCurve/EUR-EURIBOR-3M/3,-0.000946136862,-0.000846136862
IndexCurve/EUR-EURIBOR-3M/4,-0.001276846312,-0.001176846312
IndexCurve/EUR-EURIBOR-3M/5,-0.001542401391,-0.001442401391
IndexCurve/EUR-EURIBOR-3M/6,-0.001808599694,-0.001708599694
IndexCurve/EUR-EURIBOR-3M/7,-0.001469396897,-0.001369396897
IndexCurve/EUR-EURIBOR-3M/8,-0.000782298326,-0.000682298326
IndexCurve/EUR-EURIBOR-3M/9,0.000102759843,0.000202759843
IndexCurve/EUR-EURIBOR-3M/10,0.002232892487,0.002332892487
IndexCurve/EUR-EURIBOR-3M/11,0.005694726420,0.005794726420
IndexCurve/EUR-EURIBOR-3M/12,0.009217447235,0.009317447235
IndexCurve/EUR-EURIBOR-3M/13,0.010405430194,0.010505430194
IndexCurve/EUR-EURIBOR-3M/14,0.010963213832,0.011063213832
IndexCurve/EUR-EURIBOR-3M/15,0.010903807096,0.011003807096
IndexCurve/EUR-EURIBOR-6M/0,0.000245985881,0.000345985881
IndexCurve/EUR-EURIBOR-6M/1,0.000245987141,0.000345987141
IndexCurve/EUR-EURIBOR-6M/2,0.000245992268,0.000345992268
IndexCurve/EUR-EURIBOR-6M/3,0.000246000000,0.000346000000
IndexCurve/EUR-EURIBOR-6M/4,-0.000069133275,0.000030866725
IndexCurve/EUR-EURIBOR-6M/5,-0.000229761956,-0.000129761956
IndexCurve/EUR-EURIBOR-6M/6,-0.000466007255,-0.000366007255
IndexCurve/EUR-EURIBOR-6M/7,-0.000156005426,-0.000056005426
IndexCurve/EUR-EURIBOR-6M/8,0.000629995041,0.000729995041
IndexCurve/EUR-EURIBOR-6M/9,0.001521994729,0.001621994729
IndexCurve/EUR-EURIBOR-6M/10,0.003687884473,0.003787884473
IndexCurve/EUR-EURIBOR-6M/11,0.006944439598,0.007044439598
IndexCurve/EUR-EURIBOR-6M/12,0.009960524985,0.010060524985
IndexCurve/EUR-EURIBOR-6M/13,0.011245760961,0.011345760961
IndexCurve/EUR-EURIBOR-6M/14,0.011602586389,0.011702586389
IndexCurve/EUR-EURIBOR-6M/15,0.011549344545,0.011649344545
IndexCurve/USD-LIBOR-3M/0,0.006629788341,0.006729788341
IndexCurve/USD-LIBOR-3M/1,0.007297793403,0.007397793403
IndexCurve/USD-LIBOR-3M/2,0.007924471527,0.008024471527
IndexCurve/USD-LIBOR-3M/3,0.008037519774,0.008137519774
IndexCurve/USD-LIBOR-3M/4,0.008231372607,0.008331372607
IndexCurve/USD-LIBOR-3M/5,0.008598129929,0.008698129929
IndexCurve/USD-LIBOR-3M/6,0.009268285420,0.009368285420
IndexCurve/USD-LIBOR-3M/7,0.010240139574,0.010340139574
IndexCurve/USD-LIBOR-3M/8,0.011293783605,0.011393783605
IndexCurve/USD-LIBOR-3M/9,0.012377923002,0.012477923002
IndexCurve/USD-LIBOR-3M/10,0.014301456717,0.014401456717
IndexCurve/USD-LIBOR-3M/11,0.016700950784,0.016800950784
IndexCurve/USD-LIBOR-3M/12,0.019159164817,0.019259164817
IndexCurve/USD-LIBOR-3M/13,0.020469954071,0.020569954071
IndexCurve/USD-LIBOR-3M/14,0.021089371773,0.021189371773
IndexCurve/USD-LIBOR-3M/15,0.021525773637,0.021625773637
SurvivalProbability/CPTY_1/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_1/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_1/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_1/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_1/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_1/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_1/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_1/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_1/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_1/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_1/10,0.006018792108,0.006118792108
SurvivalProbability/CPTY_2/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_2/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_2/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_2/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_2/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_2/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_2/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_2/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_2/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_2/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_2/10,0.006018792108,0.006118792108
SurvivalProbability/CPTY_3/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_3/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_3/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_3/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_3/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_3/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_3/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_3/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_3/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_3/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_3/10,0.006018792108,0.006118792108
SurvivalProbability/CPTY_D/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_D/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_D/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_D/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_D/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_D/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_D/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_D/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_D/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_D/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_D/10,0.006018792108,0.006118792108
