#datumDate,datumId,datumValue
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/10M,0.0360000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/10Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/11M,0.0350000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/11Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/12Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/15M,0.0330000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/15Y,0.0260000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/18M,0.0320000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1M,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1W,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1Y,0.0350000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/20Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/21M,0.0310000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/25Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2M,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2W,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2Y,0.0300000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/30Y,0.0240000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3M,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3W,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3Y,0.0270000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/40Y,0.0220000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/4M,0.0390000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/4Y,0.0260000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/50Y,0.0210000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/5M,0.0380000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/5Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/60Y,0.0220000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/6M,0.0380000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/6Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/7M,0.0380000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/7Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/8M,0.0370000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/8Y,0.0250000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/9M,0.0360000000
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/9Y,0.0250000000
2024-03-05,MM/RATE/EUR/ESTER/0D/1D,0.0390000000
