#Key,Total,Count,Max,Min,Average
BA_CVA|BaCvaCalculator|calculate(),0,1,0,0,0.00
BA_CVA|Run BA_CVAAnalytic,10000,1,10000,10000,10000.00
BA_CVA|SA_CCR|Build SA-CCR trade data,0,1,0,0,0.00
BA_CVA|SA_CCR|Capital CRIF generation,0,1,0,0,0.00
BA_CVA|SA_CCR|Run SA_CCRAnalytic,140000,1,140000,140000,140000.00
BA_CVA|SA_CCR|SA-CCR calculation,0,1,0,0,0.00
BA_CVA|SA_CCR|buildMarket(),0,1,0,0,0.00
BA_CVA|SA_CCR|buildPortfolio(),140000,1,140000,140000,140000.00
BA_CVA|buildMarket(),10000,1,10000,10000,10000.00
PRICING|Run PRICINGAnalytic,140000,1,140000,140000,140000.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),130000,1,130000,130000,130000.00
SA_CCR|Build SA-CCR trade data,0,1,0,0,0.00
SA_CCR|Capital CRIF generation,0,1,0,0,0.00
SA_CCR|Run SA_CCRAnalytic,140000,1,140000,140000,140000.00
SA_CCR|SA-CCR calculation,0,1,0,0,0.00
SA_CCR|buildMarket(),0,1,0,0,0.00
SA_CCR|buildPortfolio(),140000,1,140000,140000,140000.00
