#RiskFactor,TradeId,NettingSetId,CVA_Base,CVA,Change
ALL,,,92722.5459,82679.9604,-10042.5855
ALL,Swap_20y,Swap_20y,161580.6945,151453.0670,-10127.6275
ALL,Swap_20y_USD,Swap_20y_USD,41820.7886,46276.9967,4456.2081
IndexCurve/EUR-EURIBOR-6M/19,,,92722.5459,93728.7563,1006.2104
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,Swap_20y,161580.6945,163009.6115,1428.9171
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,Swap_20y_USD,41820.7886,41828.2849,7.4963
IndexCurve/EUR-EURIBOR-6M/20,,,92722.5459,76759.0479,-15963.4980
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,Swap_20y,161580.6945,132706.8671,-28873.8273
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,Swap_20y_USD,41820.7886,41770.5917,-50.1969
SwaptionVolatility/EUR/41,,,92722.5459,92722.5459,0.0000
SwaptionVolatility/EUR/41,Swap_20y,Swap_20y,161580.6945,161580.6945,0.0000
SwaptionVolatility/EUR/41,Swap_20y_USD,Swap_20y_USD,41820.7886,41820.7886,0.0000
SwaptionVolatility/EUR/51,,,92722.5459,92722.5459,0.0000
SwaptionVolatility/EUR/51,Swap_20y,Swap_20y,161580.6945,161580.6945,0.0000
SwaptionVolatility/EUR/51,Swap_20y_USD,Swap_20y_USD,41820.7886,41820.7886,0.0000
SwaptionVolatility/EUR/52,,,92722.5459,93605.4759,882.9300
SwaptionVolatility/EUR/52,Swap_20y,Swap_20y,161580.6945,163164.5152,1583.8208
SwaptionVolatility/EUR/52,Swap_20y_USD,Swap_20y_USD,41820.7886,41885.1535,64.3648
SurvivalProbability/CPTY_A/3,,,92722.5459,85343.1044,-7379.4415
SurvivalProbability/CPTY_A/3,Swap_20y,Swap_20y,161580.6945,154396.4361,-7184.2583
SurvivalProbability/CPTY_A/3,Swap_20y_USD,Swap_20y_USD,41820.7886,37857.8512,-3962.9374
SurvivalProbability/CPTY_A/4,,,92722.5459,105208.8802,12486.3342
SurvivalProbability/CPTY_A/4,Swap_20y,Swap_20y,161580.6945,188118.6342,26537.9397
SurvivalProbability/CPTY_A/4,Swap_20y_USD,Swap_20y_USD,41820.7886,50115.0204,8294.2318
