#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,92722.55,789261.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92722.55,789261.78,None,6451.29,6451.29
BASE,Swap_20y,CPTY_A,161580.69,364465.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76712.51,76712.51
BASE,Swap_20y_USD,CPTY_A,41820.79,535475.47,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1788.24,1788.24
IndexCurve/EUR-EURIBOR-6M/19,,CPTY_A,93728.76,786774.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93728.76,786774.05,None,6450.15,6450.15
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,CPTY_A,163009.61,362382.94,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76694.88,76694.88
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,CPTY_A,41828.28,535500.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1788.41,1788.41
IndexCurve/EUR-EURIBOR-6M/20,,CPTY_A,76759.05,832889.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76759.05,832889.57,None,2805.52,2805.52
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,CPTY_A,132706.87,396411.61,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,35307.07,35307.07
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,CPTY_A,41770.59,534196.37,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1806.30,1806.30
SwaptionVolatility/EUR/41,,CPTY_A,92722.55,789261.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92722.55,789261.78,None,6451.29,6451.29
SwaptionVolatility/EUR/41,Swap_20y,CPTY_A,161580.69,364465.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76712.51,76712.51
SwaptionVolatility/EUR/41,Swap_20y_USD,CPTY_A,41820.79,535475.47,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1788.24,1788.24
SwaptionVolatility/EUR/51,,CPTY_A,92722.55,789261.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92722.55,789261.78,None,6451.29,6451.29
SwaptionVolatility/EUR/51,Swap_20y,CPTY_A,161580.69,364465.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76712.51,76712.51
