#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,74702.64,0.00,74702.64,74702.64,74702.64,74702.64,74702.64,74702.64
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,277663.44,203099.70,1067077.28,0.00,279052.02,279052.02,279052.02,279052.02
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,365544.97,304948.78,1470842.47,0.00,369241.77,369241.77,324642.44,324642.44
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,377424.09,427017.28,1644195.94,0.00,383212.50,383212.50,344590.22,344590.22
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,440201.16,494512.78,1815670.50,0.00,449178.28,449178.28,370544.63,370544.63
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,569253.44,456607.31,2285526.50,0.00,583700.85,583700.85,411852.55,411852.55
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,614975.94,509838.78,2392693.78,0.00,633861.42,633861.42,449927.72,449927.72
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,583318.06,583459.94,2527815.59,0.00,604240.69,633861.42,471900.15,476117.80
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,592941.06,615235.31,2665451.13,0.00,617267.90,633861.42,490018.96,495779.16
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,736791.75,535903.44,2889281.31,0.00,770866.77,770866.77,521144.63,526266.44
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,754150.56,573406.06,3088794.50,0.00,792987.36,792987.36,548266.44,552877.25
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,708052.88,646055.44,2956876.75,0.00,748251.42,792987.36,566408.91,574659.84
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,710036.94,673540.63,3054374.56,0.00,754154.54,792987.36,582181.60,593001.74
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-06,3.246837,834705.00,588412.38,3378082.88,0.00,890968.23,890968.23,605631.85,615630.28
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,844307.19,617229.13,3391553.81,0.00,905739.64,905739.64,627032.92,636318.35
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-11-05,3.748207,780238.13,672710.38,3164859.41,0.00,841255.02,905739.64,641438.66,654436.06
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-02-05,4.000000,789536.25,710477.38,3323091.00,0.00,855598.77,905739.64,654919.66,670255.16
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-05-05,4.245902,902581.25,621864.31,3612451.38,0.00,982956.12,982956.12,673917.91,688365.26
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-08-05,4.497268,902584.00,648558.44,3649382.02,0.00,987945.49,987945.49,691469.88,705109.72
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-11-05,4.748634,838614.06,704863.31,3597713.00,0.00,922582.05,987945.49,703703.66,720081.46
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-02-05,5.000262,844299.56,736632.88,3637604.63,0.00,933548.66,987945.49,715270.15,733561.18
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-05-05,5.244098,943100.50,648839.38,3842832.81,0.00,1047910.55,1047910.55,730736.98,748177.53
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-08-05,5.496152,941963.44,680905.94,3951532.56,0.00,1051956.57,1051956.57,745468.18,762108.91
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-11-05,5.748207,860960.38,716648.06,3679249.75,0.00,966372.24,1051956.57,755154.67,774818.52
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-02-07,6.005741,855980.25,738629.13,3715845.50,0.00,965762.46,1051956.57,764185.81,786702.57
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-05-05,6.244098,942136.50,645335.25,3878738.69,0.00,1068067.02,1068067.02,775785.88,797443.11
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-08-05,6.496152,929117.63,664137.81,3821718.19,0.00,1058651.18,1068067.02,786761.23,807943.48
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-11-07,6.753687,852985.06,705119.19,3737101.34,0.00,976942.34,1068067.02,794013.29,817862.62
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-02-06,7.003002,843111.13,721767.88,3540215.88,0.00,970478.57,1068067.02,800295.66,826770.19
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-05-05,7.244098,930554.00,633198.25,3767383.00,0.00,1076328.10,1076328.10,809482.49,835075.90
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-08-07,7.501632,913441.19,651348.75,3783613.06,0.00,1062010.92,1076328.10,818151.90,843358.19
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-11-06,7.750947,834234.63,686836.94,3432711.38,0.00,974788.19,1076328.10,823190.23,850851.84
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-02-05,8.000000,819693.00,701271.00,3463752.19,0.00,962602.27,1076328.10,827530.35,857871.29
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-05-06,8.248634,905016.00,616091.31,3613346.88,0.00,1068133.32,1076328.10,834782.71,864456.11
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-08-05,8.497268,882327.88,631570.00,3561406.69,0.00,1046580.69,1076328.10,840980.01,870655.58
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-11-05,8.748634,799582.94,666734.88,3421280.08,0.00,953242.99,1076328.10,844205.56,876564.97
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-02-05,9.000262,780969.81,678640.13,3286048.50,0.00,935775.70,1076328.10,846765.67,882149.92
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-05-05,9.244098,852784.00,586149.13,3460171.13,0.00,1026839.28,1076328.10,851515.55,887271.84
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-08-05,9.496152,840855.63,605480.00,3427092.19,0.00,1017612.48,1076328.10,855924.23,892289.93
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2025-11-05,9.748207,756531.69,634881.88,3203103.25,0.00,920207.35,1076328.10,857586.37,897048.52
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-02-05,10.000262,737301.19,647753.50,3140174.83,0.00,901365.84,1076328.10,858689.82,901567.23
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-05-05,10.244098,809472.69,563948.06,3232134.38,0.00,994452.91,1076328.10,861921.33,905726.98
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-08-05,10.496152,792344.81,578060.56,3229724.48,0.00,978348.94,1076328.10,864717.22,909823.80
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2026-11-05,10.748207,706451.63,602941.56,2952568.88,0.00,876717.17,1076328.10,864998.63,913728.47
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-02-05,11.000262,687168.94,618026.81,2939747.63,0.00,857113.07,1076328.10,864817.95,917454.20
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-05-05,11.244098,751513.25,534634.25,2991080.00,0.00,941970.02,1076328.10,866491.04,920899.49
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-08-05,11.496152,727242.69,541882.38,2884446.00,0.00,916172.67,1076328.10,867580.32,924307.28
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2027-11-05,11.748207,641510.25,563654.38,2668716.56,0.00,812267.55,1076328.10,866393.60,927568.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-02-07,12.005464,621408.00,571621.50,2630123.31,0.00,790892.82,1076328.10,864775.74,930756.52
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-05-05,12.245902,679323.94,481160.53,2638662.75,0.00,868799.65,1076328.10,864854.74,933614.68
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-08-07,12.502732,650194.50,485074.56,2578105.81,0.00,835855.67,1076328.10,864259.05,936546.30
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2028-11-06,12.751366,562008.25,507685.28,2299872.38,0.00,726113.09,1076328.10,861565.39,939271.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2029-02-05,13.000262,535836.25,513823.69,2259232.00,0.00,695772.51,1076328.10,858391.21,941895.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2029-05-07,13.249577,594004.88,430973.09,2274022.56,0.00,775173.21,1076328.10,856825.31,944425.44
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2029-08-06,13.498892,571863.81,438526.72,2225637.56,0.00,750023.67,1076328.10,854852.76,946861.59
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2029-11-05,13.748207,485404.44,460275.75,2032286.50,0.00,639822.78,1076328.10,850953.33,949209.38
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2030-02-05,14.000262,462559.59,468791.13,1992847.41,0.00,612803.35,1076328.10,846665.78,951497.97
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2030-05-06,14.246837,513250.72,378644.97,1962700.33,0.00,683333.50,1076328.10,843838.93,953658.46
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2030-08-05,14.496152,489431.19,386243.22,1919907.25,0.00,654890.03,1076328.10,840589.25,955768.22
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2030-11-05,14.748207,406678.06,405732.94,1683885.65,0.00,546921.45,1076328.10,835570.31,957828.65
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2031-02-05,15.000262,389334.84,415173.69,1652737.47,0.00,526253.49,1076328.10,830372.75,959819.84
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2031-05-05,15.244098,437176.06,324944.06,1674720.03,0.00,593818.77,1076328.10,826588.97,961683.44
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2031-08-05,15.496152,418700.34,335077.31,1652870.63,0.00,571608.10,1076328.10,822441.54,963548.20
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2031-11-05,15.748207,337184.88,352368.59,1376750.09,0.00,462658.57,1076328.10,816683.11,965353.28
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2032-02-05,16.000000,316523.06,358158.88,1335595.18,0.00,436511.22,1076328.10,810700.32,967099.70
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2032-05-05,16.245902,357610.19,267886.47,1350110.13,0.00,495620.94,1076328.10,805931.21,968753.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2032-08-05,16.497268,332852.22,270986.38,1285917.69,0.00,463648.36,1076328.10,800715.90,970392.11
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2032-11-05,16.748634,251958.19,288161.97,1042206.34,0.00,352746.92,1076328.10,793992.72,971982.01
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2033-02-07,17.005741,231287.05,293324.50,999223.72,0.00,325485.27,1076328.10,786909.41,973559.60
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2033-05-05,17.244098,269014.25,200610.50,1046403.53,0.00,380393.75,1076328.10,781290.36,974980.12
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2033-08-05,17.496152,245364.86,203670.75,979408.75,0.00,348712.85,1076328.10,775058.52,976440.17
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2033-11-07,17.753687,166334.44,221755.52,738641.34,0.00,237620.03,1076328.10,767262.46,977889.14
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2034-02-06,18.003002,148167.41,229273.59,692804.94,0.00,212729.22,1076328.10,759582.99,979252.37
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2034-05-05,18.244098,181013.58,136447.56,673164.98,0.00,261148.53,1076328.10,752996.17,980535.23
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2034-08-07,18.501632,159059.80,139964.42,612507.88,0.00,230665.23,1076328.10,745725.57,981868.62
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2034-11-06,18.750947,83517.34,158927.44,389124.58,0.00,121722.82,1076328.10,737428.74,983124.57
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2035-02-05,19.000262,67253.20,167825.09,342186.20,0.00,98510.36,1076328.10,729045.07,984347.56
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2035-05-07,19.249577,92276.67,70263.50,341423.31,0.00,135842.13,1076328.10,721362.07,985538.86
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2035-08-06,19.498892,71305.91,73925.94,284436.16,0.00,105497.38,1076328.10,713487.56,986699.70
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2035-11-05,19.748207,8127.05,104402.95,52465.36,0.00,12084.34,1076328.10,704632.56,987831.23
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2036-02-05,20.000000,2397.95,122538.80,14113.13,0.00,3583.66,1076328.10,695806.60,988945.38
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2036-05-05,20.245902,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,1076328.10,0.00,0.00
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,74687.45,0.00,74687.45,74687.45,74687.45,74687.45,74687.45,74687.45
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,277666.38,203117.77,1067139.16,0.00,279061.83,279061.83,279061.83,279061.83
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,365553.16,304972.25,1471000.97,0.00,369268.47,369268.47,324660.79,324660.79
