#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-02-05,0.000000,75735,0,0,0,75735,75735,75735,75734.59,75734.59
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-05-05,0.245902,225387,149976,0,0,777615,226514,226514,226514.46,226514.46
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-08-05,0.497268,295035,232312,0,0,1027270,298019,298019,262659.70,262659.70
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-11-07,0.754098,343321,292002,0,0,1278748,348587,348587,291924.75,291924.75
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-02-06,1.003002,375914,331019,0,0,1456855,383580,383580,314669.87,314669.87
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-05-05,1.244098,453821,340262,0,0,1666505,465339,465339,343868.26,343868.26
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-08-07,1.501632,479184,373446,0,0,1690725,493899,493899,369598.96,369598.96
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-11-06,1.750947,494776,397712,0,0,1839569,512523,512523,389949.75,389949.75
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-02-05,2.000262,502088,426007,0,0,1877783,522688,522688,406494.39,406494.39
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-05-07,2.249577,588838,387131,0,0,2008043,616070,616070,429721.16,429721.16
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-08-06,2.498892,593605,413288,0,0,2026354,624174,624174,449121.78,449121.78
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-11-05,2.748207,588488,432304,0,0,2059265,621899,624174,464795.98,465002.39
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-02-05,3.000262,584599,455430,0,0,2095886,620922,624174,477912.30,478374.55
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-05-06,3.246837,658209,413397,0,0,2222104,702576,702576,494973.96,495401.11
