#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,604167.8547
CPTY_A,All,All,All,SA_CVA_CAPITAL,604167.8547
,InterestRate,Delta,All,SA_CVA_CAPITAL,49788.6467
,InterestRate,Delta,EUR,SA_CVA_CAPITAL,29402.8098
,InterestRate,Delta,USD,SA_CVA_CAPITAL,30756.5033
,InterestRate,Vega,All,SA_CVA_CAPITAL,50591.9564
,InterestRate,Vega,EUR,SA_CVA_CAPITAL,29562.3360
,InterestRate,Vega,USD,SA_CVA_CAPITAL,28854.7950
,ForeignExchange,Delta,All,SA_CVA_CAPITAL,421.8704
,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,421.8704
,ForeignExchange,Vega,All,SA_CVA_CAPITAL,183.2266
,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,183.2266
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,503182.1546
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,503182.1546
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,49788.6467
CPTY_A,InterestRate,Delta,EUR,SA_CVA_CAPITAL,29402.8098
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,30756.5033
CPTY_A,InterestRate,Vega,All,SA_CVA_CAPITAL,50591.9564
CPTY_A,InterestRate,Vega,EUR,SA_CVA_CAPITAL,29562.3360
CPTY_A,InterestRate,Vega,USD,SA_CVA_CAPITAL,28854.7950
CPTY_A,ForeignExchange,Delta,All,SA_CVA_CAPITAL,421.8704
CPTY_A,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,421.8704
CPTY_A,ForeignExchange,Vega,All,SA_CVA_CAPITAL,183.2266
CPTY_A,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,183.2266
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,503182.1546
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,503182.1546
