#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,Value
,InterestRate,CvaAggregate,Delta,1Y,EUR,-1050938.8280
,InterestRate,CvaAggregate,Delta,1Y,USD,-986521.2176
,InterestRate,CvaAggregate,Delta,5Y,EUR,4954794.7047
,InterestRate,CvaAggregate,Delta,5Y,USD,5092863.0443
,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,29562.3360
,InterestRate,CvaAggregate,Vega,IRVolatility,USD,28854.7950
,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,38351.8571
,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,1832.2663
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-316702.4501
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,10347728.4252
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,EUR,-1050938.8280
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,-986521.2176
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,EUR,4954794.7047
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,5092863.0443
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,29562.3360
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,USD,28854.7950
CPTY_A,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,38351.8571
CPTY_A,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,1832.2663
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-316702.4501
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,10347728.4252
