#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,78232.95,0.00,78232.95,78232.95,78232.95,78232.95,78232.95,78232.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,277446.03,189842.89,1046054.25,0.00,278833.53,278833.53,278833.53,278833.53
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,354612.91,270278.28,1261104.56,0.00,358199.17,358199.17,318952.43,318952.43
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,376989.63,385311.19,1623996.94,0.00,382771.36,382771.36,340687.86,340687.86
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,485464.03,503096.09,1713927.84,0.00,495364.24,495364.24,379072.11,379072.11
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,641011.50,453560.38,2431505.50,0.00,657280.16,657280.16,432986.54,432986.54
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,673797.56,497649.88,2343096.25,0.00,694489.37,694489.37,477835.04,477835.04
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,601213.50,536141.13,2277588.56,0.00,622778.06,694489.37,498473.29,508684.17
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,633082.13,564484.06,2348222.50,0.00,659055.90,694489.37,518488.50,531843.16
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,756378.50,474986.31,2633406.44,0.00,791359.32,791359.32,548730.10,560604.69
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,777747.25,519469.44,2918384.09,0.00,817799.24,817799.24,575575.19,586265.05
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,726768.31,570562.81,3027011.56,0.00,768029.39,817799.24,593034.48,607269.64
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,678085.63,573914.06,2684555.25,0.00,720217.94,817799.24,603719.28,624956.43
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-06,3.246837,767945.13,452908.41,2968884.13,0.00,819708.45,819708.45,620122.20,639746.53
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,773950.75,498235.28,3002339.13,0.00,830264.05,830264.05,635107.68,653332.58
