#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2016-02-05,0.000000,0,361,0,0,0,0,0,0.00,0.00
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2016-05-05,0.245902,152728,148778,0,0,615159,153492,153492,153492.22,153492.22
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2016-08-05,0.497268,215258,215513,0,0,863615,217435,217435,185814.79,185814.79
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2016-11-07,0.754098,213267,290322,0,0,1082057,216537,217435,196278.31,196583.89
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2017-02-06,1.003002,250346,332915,0,0,1297000,255451,255451,210962.59,211192.34
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2017-05-05,1.244098,343084,321846,0,0,1343982,351792,351792,238254.10,238439.33
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2017-08-07,1.501632,381231,356905,0,0,1574931,392939,392939,264782.93,264936.39
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2017-11-06,1.750947,345570,424852,0,0,1637054,357965,392939,278051.01,283162.45
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2018-02-05,2.000262,406242,482265,0,0,1883753,422909,422909,296106.28,300580.63
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2018-05-07,2.249577,442230,428022,0,0,2087300,462682,462682,314567.42,318545.89
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2018-08-06,2.498892,455416,447371,0,0,1967805,478869,478869,330959.79,334541.32
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,2018-11-05,2.748207,409385,490794,0,0,1785594,432627,478869,340182.95,347634.57
