#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-02-05,0.000000,78594,0,0,0,78594,78594,78594,78593.93,78593.93
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-05-05,0.245902,224221,140568,0,0,792990,225342,225342,225342.32,225342.32
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-08-05,0.497268,314062,229472,0,0,1079131,317238,317238,271794.96,271794.96
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2016-11-07,0.754098,359164,290430,0,0,1207043,364673,364673,303427.22,303427.22
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-02-06,1.003002,395303,330366,0,0,1417437,403364,403364,328227.48,328227.48
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-05-05,1.244098,481180,314967,0,0,1483135,493392,493392,360234.95,360234.95
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-08-07,1.501632,497031,345209,0,0,1608400,512294,512294,386313.57,386313.57
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2017-11-06,1.750947,525016,380662,0,0,1678274,543848,543848,408744.67,408744.67
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-02-05,2.000262,518769,374148,0,0,1851286,540053,543848,425111.04,425584.09
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-05-07,2.249577,603831,336647,0,0,1854878,631757,631757,448013.13,448433.76
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-08-06,2.498892,617454,367221,0,0,1961954,649251,649251,468090.71,468469.37
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2018-11-05,2.748207,609710,372096,0,0,1990891,644325,649251,484078.56,484869.75
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-02-05,3.000262,616877,416570,0,0,1759464,655206,655206,498455.12,499179.85
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-05-06,3.246837,670264,357351,0,0,2039408,715443,715443,514933.91,515603.60
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-08-05,3.496152,669442,387181,0,0,1979213,718151,718151,529425.60,530047.53
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2019-11-05,3.748207,662782,450999,0,0,1933945,714614,718151,541878.90,542696.89
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2020-02-05,4.000000,664335,499972,0,0,1996050,719922,719922,553086.38,553852.89
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2020-05-05,4.245902,689970,403343,0,0,1931814,751412,751412,564572.44,565294.55
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2020-08-05,4.497268,669491,388132,0,0,1942499,732807,751412,573975.61,575697.24
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2020-11-05,4.748634,670769,425959,0,0,1923355,737931,751412,582654.50,584998.61
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2021-02-05,5.000262,664069,450697,0,0,2014343,734266,751412,590284.04,593373.05
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2021-05-05,5.244098,730080,424560,0,0,2132921,811216,811216,600556.74,603502.12
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2021-08-05,5.496152,716740,453729,0,0,2057179,800433,811216,609723.13,613027.91
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2021-11-05,5.748207,695593,443607,0,0,2055168,780758,811216,617222.87,621718.31
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2022-02-07,6.005741,674512,461888,0,0,2104016,761020,811216,623389.11,629844.22
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2022-05-05,6.244098,708821,398826,0,0,2005901,803566,811216,630266.99,636767.73
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2022-08-05,6.496152,686947,403376,0,0,2034853,782718,811216,636182.20,643536.42
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2022-11-07,6.753687,674724,439923,0,0,1904425,772776,811216,641390.86,649930.44
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2023-02-06,7.003002,657213,443889,0,0,1776820,756497,811216,645488.79,655672.39
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2023-05-05,7.244098,688839,422610,0,0,1838040,796748,811216,650522.96,660849.14
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2023-08-07,7.501632,673142,411669,0,0,1829814,782627,811216,655058.15,666011.29
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2023-11-06,7.750947,677137,430481,0,0,2037283,791222,811216,659437.97,670681.91
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2024-02-05,8.000000,666825,432749,0,0,1996596,783082,811216,663287.22,675056.96
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2024-05-06,8.248634,696632,400881,0,0,2047015,822191,822191,668076.96,679491.92
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2024-08-05,8.497268,661650,376844,0,0,1871992,784822,822191,671492.98,683667.35
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2024-11-05,8.748634,633065,342550,0,0,1831576,754724,822191,673884.38,687647.41
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2025-02-05,9.000262,589593,312774,0,0,1804969,706464,822191,674795.24,691408.95
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2025-05-05,9.244098,617590,265574,0,0,1702779,743641,822191,676611.22,694858.63
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2025-08-05,9.496152,590191,275694,0,0,1735120,714255,822191,677610.40,698238.38
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2025-11-05,9.748207,562522,277603,0,0,1887422,684223,822191,677781.38,701443.36
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2026-02-05,10.000262,530187,291884,0,0,1791690,648164,822191,677034.89,704486.77
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2026-05-05,10.244098,569494,276979,0,0,1902661,699635,822191,677572.82,707288.42
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2026-08-05,10.496152,552836,300351,0,0,1955216,682615,822191,677693.90,710047.68
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2026-11-05,10.748207,511174,290365,0,0,1808661,634375,822191,676678.04,712677.53
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2027-02-05,11.000262,501513,290353,0,0,1829507,625542,822191,675506.34,715186.86
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2027-05-05,11.244098,529749,255042,0,0,2066648,664004,822191,675256.90,717507.31
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2027-08-05,11.496152,475873,246037,0,0,1797026,599499,822191,673595.90,719802.51
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2027-11-05,11.748207,451149,261586,0,0,1734081,571236,822191,671399.79,721999.22
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2028-02-07,12.005464,422545,259284,0,0,1508834,537791,822191,668536.77,724146.15
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2028-05-05,12.245902,469794,232569,0,0,1643558,600828,822191,667207.37,726071.17
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2028-08-07,12.502732,439591,236396,0,0,1540551,565115,822191,665110.20,728045.65
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2028-11-06,12.751366,406492,232151,0,0,1386704,525187,822191,662381.89,729881.34
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2029-02-05,13.000262,377761,228355,0,0,1199515,490516,822191,659091.43,731648.65
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2029-05-07,13.249577,404114,194341,0,0,1255488,527366,822191,656612.78,733352.36
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2029-08-06,13.498892,360774,194071,0,0,1131968,473170,822191,653224.72,734993.14
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2029-11-05,13.748207,333240,196777,0,0,1127551,439251,822191,649344.45,736574.41
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2030-02-05,14.000262,305660,196831,0,0,1089321,404941,822191,644944.32,738115.81
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2030-05-06,14.246837,328738,154609,0,0,1184867,437677,822191,641357.06,739570.92
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2030-08-05,14.496152,306060,164176,0,0,1067853,409527,822191,637369.89,740991.87
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2030-11-05,14.748207,282587,183097,0,0,1041533,380037,822191,632971.93,742379.60
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2031-02-05,15.000262,256605,191840,0,0,845797,346847,822191,628164.07,743720.70
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2031-05-05,15.244098,274497,145704,0,0,887399,372851,822191,624080.23,744975.85
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2031-08-05,15.496152,248923,155107,0,0,810552,339829,822191,619456.70,746231.80
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2031-11-05,15.748207,223872,161041,0,0,776840,307180,822191,614458.62,747447.55
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2032-02-05,16.000000,200841,155812,0,0,691830,276976,822191,609147.63,748623.78
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2032-05-05,16.245902,219438,119093,0,0,714026,304125,822191,604530.73,749737.30
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2032-08-05,16.497268,190824,120962,0,0,655985,265810,822191,599369.70,750841.26
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2032-11-05,16.748634,170185,124579,0,0,614227,238262,822191,593950.14,751912.09
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2033-02-07,17.005741,146496,124301,0,0,543237,206161,822191,588087.20,752974.62
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2033-05-05,17.244098,163899,90144,0,0,583367,231758,822191,583161.85,753931.35
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2033-08-05,17.496152,137139,93829,0,0,434079,194903,822191,577568.47,754914.72
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2033-11-07,17.753687,112780,94046,0,0,367290,161113,822191,571527.39,755890.62
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2034-02-06,18.003002,91912,96318,0,0,316319,131962,822191,565440.05,756808.77
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2034-05-05,18.244098,111212,63338,0,0,321602,160446,822191,560088.06,757672.80
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2034-08-07,18.501632,87139,65747,0,0,275150,126367,822191,554050.86,758570.85
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,2034-11-06,18.750947,64914,65856,0,0,208326,94609,822191,547942.06,759416.75
