#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,,CPTY_A,60903.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60903.11,0.00,None,379072.11,379072.11
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,CPTY_A,35592.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,210962.59,211192.34
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,CPTY_A,48821.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328227.48,328227.48
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60908.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60908.26,0.00,None,379107.58,379107.58
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,35599.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,210994.56,211220.72
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,48821.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328249.90,328249.90
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,,CPTY_A,60865.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60865.26,0.00,None,378964.59,378964.59
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,35537.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,210774.29,211017.74
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,48821.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328227.51,328227.51
Up,false,DiscountCurve/USD/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60910.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60910.98,0.00,None,379126.06,379126.06
