#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,Swap_EUR,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,35592.23,7.38,#N/A
CPTY_A,Swap_EUR,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,35592.23,-54.55,#N/A
CPTY_A,Swap_EUR,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,35592.23,-103.07,#N/A
CPTY_A,Swap_EUR,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,35592.23,526.15,#N/A
CPTY_A,Swap_EUR,false,SwaptionVolatility/EUR/0/5Y/5Y/ATM,0.000000,,0.000000,EUR,35592.23,371.07,#N/A
CPTY_A,Swap_EUR,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,35592.23,-12.31,#N/A
CPTY_A,Swap_EUR,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,35592.23,339.27,#N/A
CPTY_A,Swap_USD,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,48821.72,10.45,#N/A
CPTY_A,Swap_USD,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,48821.72,-76.53,#N/A
CPTY_A,Swap_USD,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,48821.72,-0.01,#N/A
CPTY_A,Swap_USD,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,48821.72,0.04,#N/A
CPTY_A,Swap_USD,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,48821.72,-117.12,#N/A
CPTY_A,Swap_USD,false,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,48821.72,589.57,#N/A
CPTY_A,Swap_USD,false,SwaptionVolatility/EUR/0/5Y/5Y/ATM,0.000000,,0.000000,EUR,48821.72,-13.42,#N/A
CPTY_A,Swap_USD,false,SwaptionVolatility/USD/0/5Y/5Y/ATM,0.000000,,0.000000,EUR,48821.72,397.96,#N/A
CPTY_A,Swap_USD,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,48821.72,488.22,#N/A
CPTY_A,Swap_USD,false,FXVolatility/EURUSD/0/5Y/ATM,0.000000,,0.000000,EUR,48821.72,-20.93,#N/A
CPTY_A,Swap_USD,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,48821.72,-17.26,#N/A
CPTY_A,Swap_USD,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,48821.72,468.20,#N/A
CPTY_A,,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,60903.11,5.15,#N/A
CPTY_A,,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,60903.11,-37.86,#N/A
CPTY_A,,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,60903.11,7.87,#N/A
CPTY_A,,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,60903.11,-57.40,#N/A
CPTY_A,,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,60903.11,-122.10,#N/A
CPTY_A,,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,60903.11,621.45,#N/A
CPTY_A,,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,60903.11,-102.05,#N/A
CPTY_A,,false,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,60903.11,514.21,#N/A
CPTY_A,,false,SwaptionVolatility/EUR/0/5Y/5Y/ATM,0.000000,,0.000000,EUR,60903.11,254.91,#N/A
CPTY_A,,false,SwaptionVolatility/USD/0/5Y/5Y/ATM,0.000000,,0.000000,EUR,60903.11,291.18,#N/A
CPTY_A,,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,60903.11,364.06,#N/A
CPTY_A,,false,FXVolatility/EURUSD/0/5Y/ATM,0.000000,,0.000000,EUR,60903.11,-2.73,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,60903.11,-20.76,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,60903.11,581.27,#N/A
