#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,36755068.00,0.00,-36755066.82,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-05,0.245902,0.00,36686492.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,0.00,36219184.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-11-07,0.754098,0.00,36518580.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-02-06,1.003002,0.00,35010540.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-05-05,1.244098,0.00,34855996.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-08-07,1.501632,0.00,33654320.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-11-06,1.750947,0.00,33785924.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2018-02-05,2.000262,0.00,32461188.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2018-05-07,2.249577,0.00,32362514.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2018-08-06,2.498892,0.00,31453724.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2018-11-05,2.748207,38884.20,31488676.00,0.00,0.00,41091.79,41091.79,3727.81,3727.81
BASE,CPTY_A,2019-02-05,3.000262,104925.68,30523438.00,0.00,0.00,111445.16,111445.16,12777.25,12777.25
BASE,CPTY_A,2019-05-06,3.246837,99798.45,30177408.00,0.00,0.00,106525.36,111445.16,19896.78,20270.41
BASE,CPTY_A,2019-08-05,3.496152,229320.66,29381170.00,0.00,0.00,246006.21,246006.21,36020.93,36367.91
BASE,CPTY_A,2019-11-05,3.748207,255914.08,29794254.00,400459.65,0.00,275927.29,275927.29,52153.86,52477.51
BASE,CPTY_A,2020-02-05,4.000000,333264.16,29024226.00,0.00,0.00,361149.22,361149.22,71604.56,71907.84
BASE,CPTY_A,2020-05-05,4.245902,337504.47,28807518.00,0.00,0.00,367559.24,367559.24,88744.79,89030.50
BASE,CPTY_A,2020-08-05,4.497268,569355.13,28080406.00,1938540.37,0.00,623201.65,623201.65,118617.23,118886.97
BASE,CPTY_A,2020-11-05,4.748634,481406.13,28425434.00,0.00,0.00,529607.93,623201.65,140372.78,145582.57
BASE,CPTY_A,2021-02-05,5.000262,310815.81,27646996.00,0.00,0.00,343671.46,623201.65,150603.38,169617.79
BASE,CPTY_A,2021-05-05,5.244098,480100.59,27672698.00,3040289.89,0.00,533455.87,623201.65,168404.93,190708.15
BASE,CPTY_A,2021-08-05,5.496152,660728.56,27023116.00,1037048.20,0.00,737881.87,737881.87,194521.27,215801.66
BASE,CPTY_A,2021-11-05,5.748207,1101001.63,27390788.00,4913561.38,0.00,1235802.96,1235802.96,240180.73,260527.99
BASE,CPTY_A,2022-02-07,6.005741,1225813.13,26663692.00,6901452.22,0.00,1383027.65,1383027.65,289187.54,308662.28
BASE,CPTY_A,2022-05-05,6.244098,1207939.50,26471468.00,3877728.44,0.00,1369398.51,1383027.65,330422.47,349674.07
BASE,CPTY_A,2022-08-05,6.496152,1529745.50,25806384.00,8282666.43,0.00,1743015.98,1743015.98,385231.99,403736.61
BASE,CPTY_A,2022-11-07,6.753687,1427604.75,25900946.00,4232467.25,0.00,1635066.75,1743015.98,432891.18,454806.54
BASE,CPTY_A,2023-02-06,7.003002,1603395.25,25501904.00,4961154.42,0.00,1845617.57,1845617.57,483185.89,504321.04
BASE,CPTY_A,2023-05-05,7.244098,1595095.75,25334676.00,5457323.80,0.00,1844972.29,1845617.57,528508.46,548961.67
BASE,CPTY_A,2023-08-07,7.501632,1631086.50,24700886.00,5428105.45,0.00,1896380.04,1896380.04,575468.08,595219.12
BASE,CPTY_A,2023-11-06,7.750947,1576764.13,24878388.00,4818512.88,0.00,1842420.47,1896380.04,616220.56,637071.95
BASE,CPTY_A,2024-02-05,8.000000,1694576.13,24503752.00,5738459.26,0.00,1990016.82,1990016.82,658989.08,679191.33
BASE,CPTY_A,2024-05-06,8.248634,1998003.88,24447372.00,8942604.77,0.00,2358117.85,2358117.85,710204.96,729798.26
BASE,CPTY_A,2024-08-05,8.497268,1989931.75,23806464.00,10389841.43,0.00,2360374.36,2360374.36,758489.66,777509.65
BASE,CPTY_A,2024-11-05,8.748634,2071098.88,24047292.00,11086296.38,0.00,2469112.80,2469112.80,807639.35,826112.86
BASE,CPTY_A,2025-02-05,9.000262,2318050.50,23736290.00,15816161.63,0.00,2777540.52,2777540.52,862713.59,880670.62
BASE,CPTY_A,2025-05-05,9.244098,2211238.75,23516662.00,14631485.88,0.00,2662557.86,2777540.52,910188.87,930705.19
BASE,CPTY_A,2025-08-05,9.496152,2612069.50,23254330.00,20085302.78,0.00,3161154.45,3161154.45,969935.87,989907.63
BASE,CPTY_A,2025-11-05,9.748207,2629567.50,23403074.00,21401980.35,0.00,3198474.48,3198474.48,1027558.14,1047013.50
BASE,CPTY_A,2026-02-05,10.000262,885718.38,424325.91,3245306.41,0.00,1082808.88,3198474.48,1028950.73,1101240.69
BASE,CPTY_A,2026-05-05,10.244098,772794.44,443853.94,3392355.32,0.00,949392.99,3198474.48,1027057.05,1151160.19
BASE,CPTY_A,2026-08-05,10.496152,783823.50,490448.75,3161246.55,0.00,967827.23,3198474.48,1025634.71,1200324.43
BASE,CPTY_A,2026-11-05,10.748207,710495.81,519737.00,2854447.10,0.00,881736.07,3198474.48,1022260.16,1247182.79
BASE,CPTY_A,2027-02-05,11.000262,712515.94,522827.19,3213686.25,0.00,888728.65,3198474.48,1019200.48,1291893.76
BASE,CPTY_A,2027-05-05,11.244098,772413.25,436006.94,3302968.68,0.00,968166.74,3198474.48,1018093.78,1333239.21
BASE,CPTY_A,2027-08-05,11.496152,727032.63,440375.75,2904504.81,0.00,915908.07,3198474.48,1015853.34,1374134.76
BASE,CPTY_A,2027-11-05,11.748207,627080.88,467242.44,2295611.56,0.00,793997.34,3198474.48,1011093.48,1413275.51
BASE,CPTY_A,2028-02-07,12.005464,623666.63,489868.47,2330986.61,0.00,793767.48,3198474.48,1006436.54,1451529.38
BASE,CPTY_A,2028-05-05,12.245902,687109.00,398984.75,2629772.97,0.00,878756.12,3198474.48,1003929.65,1485829.06
BASE,CPTY_A,2028-08-07,12.502732,663070.75,410714.66,2573892.37,0.00,852408.63,3198474.48,1000817.11,1521010.15
BASE,CPTY_A,2028-11-06,12.751366,563628.75,430820.41,2234763.95,0.00,728206.81,3198474.48,995501.59,1553718.36
BASE,CPTY_A,2029-02-05,13.000262,541048.56,433161.97,2254442.27,0.00,702540.60,3198474.48,989892.72,1585207.96
BASE,CPTY_A,2029-05-07,13.249577,587566.06,342465.56,2206516.20,0.00,766770.65,3198474.48,985694.27,1615564.53
BASE,CPTY_A,2029-08-06,13.498892,554727.88,350491.09,1945521.73,0.00,727549.15,3198474.48,980926.51,1644799.76
BASE,CPTY_A,2029-11-05,13.748207,474937.88,378423.13,1783066.66,0.00,626026.56,3198474.48,974490.63,1672974.68
BASE,CPTY_A,2030-02-05,14.000262,457154.25,388846.84,1845589.02,0.00,605642.31,3198474.48,967850.04,1700439.13
BASE,CPTY_A,2030-05-06,14.246837,508225.44,298643.66,1820710.52,0.00,676642.94,3198474.48,962810.01,1726366.19
BASE,CPTY_A,2030-08-05,14.496152,498107.84,320830.31,1976001.59,0.00,666499.94,3198474.48,957713.86,1751684.54
BASE,CPTY_A,2030-11-05,14.748207,401472.75,349330.97,1473193.31,0.00,539921.08,3198474.48,950573.55,1776410.96
BASE,CPTY_A,2031-02-05,15.000262,382295.56,365951.72,1405227.73,0.00,516738.65,3198474.48,943283.67,1800306.41
BASE,CPTY_A,2031-05-05,15.244098,426118.91,269600.16,1556737.23,0.00,578799.75,3198474.48,937453.60,1822670.68
BASE,CPTY_A,2031-08-05,15.496152,404777.50,285542.06,1495959.49,0.00,552600.66,3198474.48,931193.72,1845049.01
BASE,CPTY_A,2031-11-05,15.748207,321453.66,312000.38,1321832.64,0.00,441073.43,3198474.48,923349.20,1866710.99
BASE,CPTY_A,2032-02-05,16.000000,305628.19,313975.97,1258090.84,0.00,421486.28,3198474.48,915451.36,1887669.02
BASE,CPTY_A,2032-05-05,16.245902,351441.78,227589.30,1406926.80,0.00,487071.98,3198474.48,908967.31,1907509.67
BASE,CPTY_A,2032-08-05,16.497268,328919.09,234058.19,1274021.76,0.00,458169.66,3198474.48,902098.58,1927179.88
BASE,CPTY_A,2032-11-05,16.748634,248571.56,256302.83,1016257.72,0.00,348005.57,3198474.48,893782.67,1946259.67
BASE,CPTY_A,2033-02-07,17.005741,226903.45,258244.39,939163.69,0.00,319316.33,3198474.48,885097.39,1965191.74
BASE,CPTY_A,2033-05-05,17.244098,263516.53,168564.97,992881.67,0.00,372619.85,3198474.48,878013.68,1982238.76
BASE,CPTY_A,2033-08-05,17.496152,238827.34,175389.17,1043302.59,0.00,339421.74,3198474.48,870254.56,1999760.22
BASE,CPTY_A,2033-11-07,17.753687,157407.83,198003.33,685249.38,0.00,224867.76,3198474.48,860892.60,2017148.72
BASE,CPTY_A,2034-02-06,18.003002,142521.17,206541.38,621139.02,0.00,204622.72,3198474.48,851804.23,2033508.34
BASE,CPTY_A,2034-05-05,18.244098,180531.16,120984.84,614322.18,0.00,260452.55,3198474.48,843989.52,2048903.38
BASE,CPTY_A,2034-08-07,18.501632,163451.72,130793.97,628205.16,0.00,237034.29,3198474.48,835540.98,2064904.88
BASE,CPTY_A,2034-11-06,18.750947,81018.49,146934.22,361823.22,0.00,118080.85,3198474.48,826001.53,2079976.97
BASE,CPTY_A,2035-02-05,19.000262,65177.95,159042.63,349348.62,0.00,95470.59,3198474.48,816415.75,2094653.52
BASE,CPTY_A,2035-05-07,19.249577,88651.84,57686.55,370789.67,0.00,130505.94,3198474.48,807532.04,2108949.90
BASE,CPTY_A,2035-08-06,19.498892,68453.16,62328.16,323190.34,0.00,101276.73,3198474.48,798501.78,2122880.69
BASE,CPTY_A,2035-11-05,19.748207,8535.81,103382.56,69158.46,0.00,12692.13,3198474.48,788581.17,2136459.73
BASE,CPTY_A,2036-02-05,20.000000,2917.43,122896.86,14530.94,0.00,4360.01,3198474.48,778708.11,2149830.11
BASE,CPTY_A,2036-05-05,20.245902,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
BASE,CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
eur_6m_up,CPTY_A,2016-02-05,0.000000,0.00,48682540.00,0.00,-48682541.34,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2016-05-05,0.245902,0.00,48537132.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2016-08-05,0.497268,0.00,48073636.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2016-11-07,0.754098,0.00,48499316.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2017-02-06,1.003002,0.00,46094028.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2017-05-05,1.244098,0.00,46029052.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2017-08-07,1.501632,0.00,43973704.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2017-11-06,1.750947,0.00,44201492.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2018-02-05,2.000262,0.00,42019400.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2018-05-07,2.249577,0.00,41997044.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2018-08-06,2.498892,0.00,40244764.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2018-11-05,2.748207,0.00,40347096.00,0.00,0.00,0.00,0.00,0.00,0.00
eur_6m_up,CPTY_A,2019-02-05,3.000262,18343.24,38476280.00,0.00,0.00,19482.98,19482.98,1636.78,1636.78
eur_6m_up,CPTY_A,2019-05-06,3.246837,0.00,38199336.00,0.00,0.00,0.00,19482.98,1512.48,2992.08
eur_6m_up,CPTY_A,2019-08-05,3.496152,52178.83,36504200.00,0.00,0.00,55975.41,55975.41,5396.30,6770.39
eur_6m_up,CPTY_A,2019-11-05,3.748207,12429.64,36938900.00,0.00,0.00,13401.67,55975.41,5934.64,10079.27
eur_6m_up,CPTY_A,2020-02-05,4.000000,82095.35,35326540.00,0.00,0.00,88964.47,88964.47,11161.22,15044.95
eur_6m_up,CPTY_A,2020-05-05,4.245902,113261.49,35214864.00,0.00,0.00,123347.42,123347.42,17658.49,21317.29
eur_6m_up,CPTY_A,2020-08-05,4.497268,266244.09,33609016.00,0.00,0.00,291424.02,291424.02,32960.08,36414.39
eur_6m_up,CPTY_A,2020-11-05,4.748634,259829.03,34128944.00,0.00,0.00,285844.95,291424.02,46346.39,49913.17
eur_6m_up,CPTY_A,2021-02-05,5.000262,133186.48,32579566.00,0.00,0.00,147265.33,291424.02,51424.94,62066.72
eur_6m_up,CPTY_A,2021-05-05,5.244098,225712.61,32604708.00,0.00,0.00,250796.85,291424.02,60695.16,72731.18
eur_6m_up,CPTY_A,2021-08-05,5.496152,407610.34,31168104.00,0.00,0.00,455207.03,455207.03,78787.57,90271.61
eur_6m_up,CPTY_A,2021-11-05,5.748207,771982.88,31552324.00,517044.70,0.00,866500.79,866500.79,113328.23,124308.71
eur_6m_up,CPTY_A,2022-02-07,6.005741,976821.06,30103962.00,3492631.24,0.00,1102101.51,1102101.51,155728.15,166237.77
eur_6m_up,CPTY_A,2022-05-05,6.244098,950793.25,29979408.00,433057.63,0.00,1077880.84,1102101.51,190929.52,201962.53
eur_6m_up,CPTY_A,2022-08-05,6.496152,1293734.88,28576206.00,5200228.24,0.00,1474101.85,1474101.85,240717.42,251322.34
eur_6m_up,CPTY_A,2022-11-07,6.753687,1197995.88,28768676.00,1620729.29,0.00,1372090.64,1474101.85,283859.39,297949.85
eur_6m_up,CPTY_A,2023-02-06,7.003002,1393007.13,27600256.00,1621133.27,0.00,1603446.43,1603446.43,330838.23,344427.06
eur_6m_up,CPTY_A,2023-05-05,7.244098,1394580.75,27514292.00,3447201.69,0.00,1613046.02,1613046.02,373512.29,386648.86
eur_6m_up,CPTY_A,2023-08-07,7.501632,1478121.75,26171430.00,4104210.68,0.00,1718535.91,1718535.91,419687.53,432373.11
eur_6m_up,CPTY_A,2023-11-06,7.750947,1429993.63,26444074.00,3047694.87,0.00,1670921.85,1718535.91,459934.42,473743.51
eur_6m_up,CPTY_A,2024-02-05,8.000000,1589974.25,25351622.00,4720095.00,0.00,1867178.11,1867178.11,503744.22,517123.40
eur_6m_up,CPTY_A,2024-05-06,8.248634,1888599.38,25373054.00,7838985.33,0.00,2228994.73,2228994.73,555747.46,568723.37
eur_6m_up,CPTY_A,2024-08-05,8.497268,1954840.13,24061122.00,10105343.19,0.00,2318750.09,2318750.09,607333.72,619929.94
eur_6m_up,CPTY_A,2024-11-05,8.748634,2026924.25,24379022.00,10670392.82,0.00,2416449.02,2416449.02,659313.29,671547.60
eur_6m_up,CPTY_A,2025-02-05,9.000262,2369919.25,23400732.00,16205030.88,0.00,2839690.75,2839690.75,720271.99,732164.26
eur_6m_up,CPTY_A,2025-05-05,9.244098,2251576.75,23250164.00,14939825.24,0.00,2711128.98,2839690.75,772785.70,787755.41
eur_6m_up,CPTY_A,2025-08-05,9.496152,2760634.00,22376004.00,21210544.69,0.00,3340948.95,3340948.95,840952.03,855524.40
eur_6m_up,CPTY_A,2025-11-05,9.748207,2781451.50,22612184.00,22319695.50,0.00,3383218.59,3383218.59,906686.22,920881.79
eur_6m_up,CPTY_A,2026-02-05,10.000262,2202538.00,56807.30,5149982.63,0.00,2692647.96,3383218.59,951701.06,982944.55
eur_6m_up,CPTY_A,2026-05-05,10.244098,2001851.13,68979.58,5162212.48,0.00,2459313.01,3383218.59,987586.06,1040077.18
eur_6m_up,CPTY_A,2026-08-05,10.496152,1971760.50,74646.77,4964613.98,0.00,2434634.20,3383218.59,1022335.51,1096345.42
eur_6m_up,CPTY_A,2026-11-05,10.748207,1792452.88,89672.97,4589295.13,0.00,2224461.14,3383218.59,1050526.40,1149974.59
eur_6m_up,CPTY_A,2027-02-05,11.000262,1793560.13,91065.12,4891784.16,0.00,2237126.40,3383218.59,1077715.59,1201146.08
eur_6m_up,CPTY_A,2027-05-05,11.244098,1850486.38,83956.95,4883316.31,0.00,2319457.08,3383218.59,1104643.56,1248465.75
eur_6m_up,CPTY_A,2027-08-05,11.496152,1804831.25,87840.71,4552240.47,0.00,2273707.49,3383218.59,1130275.46,1295270.52
eur_6m_up,CPTY_A,2027-11-05,11.748207,1591105.50,91496.84,3784021.70,0.00,2014626.27,3383218.59,1149248.98,1340066.91
eur_6m_up,CPTY_A,2028-02-07,12.005464,1576993.00,104958.46,3860279.75,0.00,2007107.08,3383218.59,1167631.46,1383848.28
eur_6m_up,CPTY_A,2028-05-05,12.245902,1638375.25,93618.67,4108356.71,0.00,2095347.77,3383218.59,1185846.33,1423104.10
eur_6m_up,CPTY_A,2028-08-07,12.502732,1607070.13,97218.34,3947390.11,0.00,2065964.29,3383218.59,1203925.68,1463368.69
eur_6m_up,CPTY_A,2028-11-06,12.751366,1416118.38,115320.38,3504957.33,0.00,1829620.97,3383218.59,1216125.86,1500803.09
eur_6m_up,CPTY_A,2029-02-05,13.000262,1398040.25,121190.07,3540259.94,0.00,1815326.88,3383218.59,1227597.84,1536842.78
eur_6m_up,CPTY_A,2029-05-07,13.249577,1430462.63,95786.94,3410279.73,0.00,1866746.30,3383218.59,1239624.59,1571585.72
eur_6m_up,CPTY_A,2029-08-06,13.498892,1390373.63,97003.50,3143588.34,0.00,1823534.06,3383218.59,1250408.98,1605045.31
eur_6m_up,CPTY_A,2029-11-05,13.748207,1204205.38,106343.92,2859495.88,0.00,1587290.95,3383218.59,1256518.13,1637291.36
eur_6m_up,CPTY_A,2030-02-05,14.000262,1177601.75,107969.87,2941146.47,0.00,1560098.02,3383218.59,1261983.65,1668724.30
eur_6m_up,CPTY_A,2030-05-06,14.246837,1215340.38,80706.55,2802739.06,0.00,1618084.08,3383218.59,1268146.81,1698397.69
eur_6m_up,CPTY_A,2030-08-05,14.496152,1178718.00,77107.53,3002718.19,0.00,1577199.67,3383218.59,1273462.12,1727374.43
eur_6m_up,CPTY_A,2030-11-05,14.748207,981409.25,90517.52,2364052.21,0.00,1319849.34,3383218.59,1274254.90,1755673.70
eur_6m_up,CPTY_A,2031-02-05,15.000262,950967.00,96457.18,2306915.11,0.00,1285396.62,3383218.59,1274442.12,1783021.92
eur_6m_up,CPTY_A,2031-05-05,15.244098,972902.56,55215.89,2373987.52,0.00,1321499.19,3383218.59,1275194.82,1808617.73
eur_6m_up,CPTY_A,2031-08-05,15.496152,943339.75,63234.12,2311866.67,0.00,1287843.76,3383218.59,1275400.56,1834229.61
eur_6m_up,CPTY_A,2031-11-05,15.748207,771833.50,83609.02,2047907.73,0.00,1059049.23,3383218.59,1271937.80,1859021.65
eur_6m_up,CPTY_A,2032-02-05,16.000000,750834.69,80170.48,1986017.83,0.00,1035462.51,3383218.59,1268216.37,1883008.01
eur_6m_up,CPTY_A,2032-05-05,16.245902,780819.56,54011.77,2048389.54,0.00,1082157.47,3383218.59,1265400.14,1905715.54
eur_6m_up,CPTY_A,2032-08-05,16.497268,755413.19,57406.47,1923181.73,0.00,1052257.04,3383218.59,1262152.52,1928228.01
eur_6m_up,CPTY_A,2032-11-05,16.748634,584363.00,70415.58,1568208.49,0.00,818120.87,3383218.59,1255488.42,1950064.73
eur_6m_up,CPTY_A,2033-02-07,17.005741,559812.94,69405.76,1492141.95,0.00,787812.65,3383218.59,1248417.69,1971732.40
eur_6m_up,CPTY_A,2033-05-05,17.244098,588071.06,45446.96,1464056.08,0.00,831549.16,3383218.59,1242655.53,1991242.63
eur_6m_up,CPTY_A,2033-08-05,17.496152,559337.13,48280.22,1519265.23,0.00,794930.69,3383218.59,1236205.48,2011295.86
eur_6m_up,CPTY_A,2033-11-07,17.753687,396025.56,69030.32,1077318.55,0.00,565749.37,3383218.59,1226479.87,2031196.91
eur_6m_up,CPTY_A,2034-02-06,18.003002,372889.16,69360.16,1011935.94,0.00,535370.28,3383218.59,1216909.02,2049920.42
eur_6m_up,CPTY_A,2034-05-05,18.244098,394088.28,38650.03,925438.96,0.00,568551.71,3383218.59,1208340.97,2067539.97
eur_6m_up,CPTY_A,2034-08-07,18.501632,366607.63,37958.13,945512.81,0.00,531646.80,3383218.59,1198921.70,2085853.61
eur_6m_up,CPTY_A,2034-11-06,18.750947,209723.88,57274.17,585416.60,0.00,305663.23,3383218.59,1187044.82,2103103.55
eur_6m_up,CPTY_A,2035-02-05,19.000262,183926.64,60128.25,587116.14,0.00,269409.91,3383218.59,1175003.92,2119900.79
eur_6m_up,CPTY_A,2035-05-07,19.249577,194981.45,16552.97,521602.16,0.00,287035.65,3383218.59,1163503.20,2136262.92
eur_6m_up,CPTY_A,2035-08-06,19.498892,170300.55,17028.81,471846.02,0.00,251960.35,3383218.59,1151848.11,2152206.64
eur_6m_up,CPTY_A,2035-11-05,19.748207,28232.01,52896.39,144944.96,0.00,41978.95,3383218.59,1137836.35,2167747.79
eur_6m_up,CPTY_A,2036-02-05,20.000000,14988.85,64782.13,89529.49,0.00,22400.40,3383218.59,1123793.42,2183050.13
eur_6m_up,CPTY_A,2036-05-05,20.245902,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eur_6m_up,CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,3383218.59,0.00,0.00
eonia_up,CPTY_A,2016-02-05,0.000000,0.00,21114108.00,0.00,-21114107.39,0.00,0.00,0.00,0.00
eonia_up,CPTY_A,2016-05-05,0.245902,0.00,21040638.00,0.00,0.00,0.00,0.00,0.00,0.00
eonia_up,CPTY_A,2016-08-05,0.497268,0.00,20584738.00,0.00,0.00,0.00,0.00,0.00,0.00
eonia_up,CPTY_A,2016-11-07,0.754098,0.00,20850090.00,0.00,0.00,0.00,0.00,0.00,0.00
eonia_up,CPTY_A,2017-02-06,1.003002,24005.35,19404014.00,0.00,0.00,24992.47,24992.47,6202.09,6202.09
eonia_up,CPTY_A,2017-05-05,1.244098,130408.87,19351610.00,0.00,0.00,137094.30,137094.30,31567.93,31567.93
eonia_up,CPTY_A,2017-08-07,1.501632,105609.45,18165606.00,0.00,0.00,112176.91,137094.30,45392.60,49666.01
eonia_up,CPTY_A,2017-11-06,1.750947,142800.20,18340086.00,0.00,0.00,153201.65,153201.65,60743.39,64408.31
eonia_up,CPTY_A,2018-02-05,2.000262,390548.72,17317956.00,2558825.83,0.00,423187.66,423187.66,105918.88,109127.00
eonia_up,CPTY_A,2018-05-07,2.249577,221107.03,17059244.00,656961.92,0.00,241990.45,423187.66,120999.36,143933.57
eonia_up,CPTY_A,2018-08-06,2.498892,422800.03,16430607.00,1989538.05,0.00,467379.72,467379.72,155557.81,176203.87
eonia_up,CPTY_A,2018-11-05,2.748207,489316.72,16481236.00,1699496.81,0.00,546341.36,546341.36,191009.37,209782.43
eonia_up,CPTY_A,2019-02-05,3.000262,675613.50,15742184.00,3523634.66,0.00,762007.38,762007.38,238979.44,256175.36
eonia_up,CPTY_A,2019-05-06,3.246837,918007.13,15648205.00,7838576.02,0.00,1045679.16,1045679.16,300242.83,316132.84
