#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,BermSwp,2016-02-05,0.000000,52289,0,0,0,52289,52289,52289,52289.17,52289.17
BASE,BermSwp,2016-05-05,0.245902,52223,0,0,0,64512,52484,52484,52484.37,52484.37
BASE,BermSwp,2016-08-05,0.497268,51963,0,0,0,69909,52488,52488,52486.31,52486.31
BASE,BermSwp,2016-11-07,0.754098,52278,0,0,0,77578,53080,53080,52688.34,52688.34
BASE,BermSwp,2017-02-06,1.003002,52006,0,0,0,82795,53067,53080,52782.20,52785.42
BASE,BermSwp,2017-05-05,1.244098,51961,0,0,0,81720,53279,53279,52878.54,52881.13
BASE,BermSwp,2017-08-07,1.501632,51963,0,0,0,87730,53559,53559,52995.18,52997.33
BASE,BermSwp,2017-11-06,1.750947,51600,0,0,0,93642,53451,53559,53060.09,53077.26
BASE,BermSwp,2018-02-05,2.000262,51802,0,0,0,99730,53928,53928,53168.22,53183.24
BASE,BermSwp,2018-05-07,2.249577,51392,0,0,0,105088,53769,53928,53234.83,53265.74
BASE,BermSwp,2018-08-06,2.498892,50993,0,0,0,100993,53619,53928,53273.19,53331.77
BASE,BermSwp,2018-11-05,2.748207,51092,0,0,0,101613,53992,53992,53338.41,53391.68
BASE,BermSwp,2019-02-05,3.000262,50294,0,0,0,102902,53419,53992,53345.20,53442.12
BASE,BermSwp,2019-05-06,3.246837,50035,0,0,0,102890,53408,53992,53349.96,53483.89
BASE,BermSwp,2019-08-05,3.496152,49480,0,0,0,104752,53080,53992,53330.73,53520.14
BASE,BermSwp,2019-11-05,3.748207,49057,0,0,0,112204,52894,53992,53301.35,53551.88
BASE,BermSwp,2020-02-05,4.000000,48957,0,0,0,117531,53053,53992,53285.75,53579.59
BASE,BermSwp,2020-05-05,4.245902,48727,0,0,0,108312,53066,53992,53273.04,53603.48
BASE,BermSwp,2020-08-05,4.497268,49192,0,0,0,112680,53844,53992,53304.98,53625.21
BASE,BermSwp,2020-11-05,4.748634,49104,0,0,0,122990,54021,54021,53342.88,53646.16
BASE,BermSwp,2021-02-05,5.000262,49288,0,0,0,114242,54498,54498,53400.98,53689.00
BASE,BermSwp,2021-05-05,5.244098,49750,0,0,0,136203,55279,55279,53488.30,53762.93
BASE,BermSwp,2021-08-05,5.496152,48531,0,0,0,121927,54197,55279,53520.82,53832.45
BASE,BermSwp,2021-11-05,5.748207,48402,0,0,0,125369,54328,55279,53556.22,53895.87
BASE,BermSwp,2022-02-07,6.005741,48764,0,0,0,129481,55018,55279,53618.92,53955.18
BASE,BermSwp,2022-05-05,6.244098,48851,0,0,0,135354,55381,55381,53686.17,54009.59
