#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CC_SWAP_EUR_USD,2016-02-05,0.000000,0,37157924,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-05-05,0.245902,0,37099264,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-08-05,0.497268,0,36629216,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-11-07,0.754098,0,36836916,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2017-02-06,1.003002,0,35319012,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2017-05-05,1.244098,0,35370888,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2017-08-07,1.501632,0,34158360,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2017-11-06,1.750947,0,34179004,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2018-02-05,2.000262,0,32859100,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2018-05-07,2.249577,0,32973762,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2018-08-06,2.498892,10949,32053910,0,0,0,11512,11512,1148.59,1148.59
BASE,CC_SWAP_EUR_USD,2018-11-05,2.748207,6570,31942844,0,0,0,6943,11512,1674.30,2088.79
BASE,CC_SWAP_EUR_USD,2019-02-05,3.000262,70030,30922278,0,0,0,74381,74381,7782.45,8162.12
BASE,CC_SWAP_EUR_USD,2019-05-06,3.246837,104882,30826276,0,0,0,111951,111951,15693.37,16044.21
BASE,CC_SWAP_EUR_USD,2019-08-05,3.496152,239291,29996416,0,0,0,256702,256702,32879.98,33205.80
BASE,CC_SWAP_EUR_USD,2019-11-05,3.748207,255769,30227038,0,0,0,275771,275771,49213.64,49517.54
