#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,FX_CALL_OPTION,2016-02-05,0.000000,272335,0,0,0,272335,272335,272335,272335.06,272335.06
BASE,FX_CALL_OPTION,2016-05-05,0.245902,272943,0,0,0,325892,274308,274308,274307.69,274307.69
BASE,FX_CALL_OPTION,2016-08-05,0.497268,273731,0,0,0,340491,276500,276500,275415.77,275415.77
BASE,FX_CALL_OPTION,2016-11-07,0.754098,274378,0,0,0,361247,278586,278586,276495.53,276495.53
BASE,FX_CALL_OPTION,2017-02-06,1.003002,274094,0,0,0,375374,279684,279684,277286.77,277286.77
BASE,FX_CALL_OPTION,2017-05-05,1.244098,275475,0,0,0,369293,282466,282466,278290.45,278290.45
BASE,FX_CALL_OPTION,2017-08-07,1.501632,275920,0,0,0,396160,284394,284394,279337.17,279337.17
BASE,FX_CALL_OPTION,2017-11-06,1.750947,276403,0,0,0,380467,286317,286317,280331.05,280331.05
BASE,FX_CALL_OPTION,2018-02-05,2.000262,277517,0,0,0,393822,288902,288902,281399.38,281399.38
BASE,FX_CALL_OPTION,2018-05-07,2.249577,278464,0,0,0,400982,291342,291342,282501.30,282501.30
BASE,FX_CALL_OPTION,2018-08-06,2.498892,279971,0,0,0,412395,294389,294389,283687.36,283687.36
BASE,FX_CALL_OPTION,2018-11-05,2.748207,279191,0,0,0,415817,295042,295042,284717.41,284717.41
BASE,FX_CALL_OPTION,2019-02-05,3.000262,279275,0,0,0,427477,296628,296628,285717.99,285717.99
BASE,FX_CALL_OPTION,2019-05-06,3.246837,278719,0,0,0,445081,297506,297506,286613.20,286613.20
BASE,FX_CALL_OPTION,2019-08-05,3.496152,280083,0,0,0,438452,300462,300462,287600.75,287600.75
BASE,FX_CALL_OPTION,2019-11-05,3.748207,280773,0,0,0,461082,302730,302730,288618.15,288618.15
BASE,FX_CALL_OPTION,2020-02-05,4.000000,282304,0,0,0,475542,305925,305925,289707.57,289707.57
BASE,FX_CALL_OPTION,2020-05-05,4.245902,281948,0,0,0,476693,307055,307055,290712.27,290712.27
BASE,FX_CALL_OPTION,2020-08-05,4.497268,281073,0,0,0,497889,307655,307655,291659.24,291659.24
BASE,FX_CALL_OPTION,2020-11-05,4.748634,281684,0,0,0,519011,309888,309888,292624.16,292624.16
BASE,FX_CALL_OPTION,2021-02-05,5.000262,281034,0,0,0,506418,310742,310742,293535.90,293535.90
BASE,FX_CALL_OPTION,2021-05-05,5.244098,281182,0,0,0,481057,312430,312430,294414.43,294414.43
BASE,FX_CALL_OPTION,2021-08-05,5.496152,281264,0,0,0,487477,314107,314107,295317.56,295317.56
BASE,FX_CALL_OPTION,2021-11-05,5.748207,282550,0,0,0,509985,317145,317145,296274.66,296274.66
BASE,FX_CALL_OPTION,2022-02-07,6.005741,282244,0,0,0,534258,318443,318443,297225.27,297225.27
BASE,FX_CALL_OPTION,2022-05-05,6.244098,281270,0,0,0,516056,318866,318866,298051.37,298051.37
BASE,FX_CALL_OPTION,2022-08-05,6.496152,280987,0,0,0,529164,320161,320161,298909.23,298909.23
BASE,FX_CALL_OPTION,2022-11-07,6.753687,279771,0,0,0,535884,320428,320428,299729.80,299729.80
BASE,FX_CALL_OPTION,2023-02-06,7.003002,281074,0,0,0,528732,323535,323535,300577.30,300577.30
BASE,FX_CALL_OPTION,2023-05-05,7.244098,280153,0,0,0,538654,324040,324040,301358.19,301358.19
BASE,FX_CALL_OPTION,2023-08-07,7.501632,279397,0,0,0,541704,324840,324840,302164.32,302164.32
BASE,FX_CALL_OPTION,2023-11-06,7.750947,279602,0,0,0,551942,326710,326710,302953.85,302953.85
BASE,FX_CALL_OPTION,2024-02-05,8.000000,279099,0,0,0,549350,327758,327758,303726.05,303726.05
BASE,FX_CALL_OPTION,2024-05-06,8.248634,278066,0,0,0,512799,328184,328184,304463.28,304463.28
BASE,FX_CALL_OPTION,2024-08-05,8.497268,277833,0,0,0,525589,329554,329554,305197.45,305197.45
BASE,FX_CALL_OPTION,2024-11-05,8.748634,278375,0,0,0,541981,331872,331872,305963.86,305963.86
BASE,FX_CALL_OPTION,2025-02-05,9.000262,279065,0,0,0,515595,334382,334382,306758.37,306758.37
BASE,FX_CALL_OPTION,2025-05-05,9.244098,278129,0,0,0,521054,334895,334895,307500.55,307500.55
BASE,FX_CALL_OPTION,2025-08-05,9.496152,278814,0,0,0,527928,337424,337424,308294.79,308294.79
BASE,FX_CALL_OPTION,2025-11-05,9.748207,278464,0,0,0,534504,338710,338710,309081.23,309081.23
BASE,FX_CALL_OPTION,2026-02-05,10.000262,278040,0,0,0,550940,339909,339909,309858.24,309858.24
BASE,FX_CALL_OPTION,2026-05-05,10.244098,0,0,0,0,0,0,339909,0.00,0.00
BASE,FX_CALL_OPTION,2026-08-05,10.496152,0,0,0,0,0,0,339909,0.00,0.00
BASE,FX_CALL_OPTION,2026-11-05,10.748207,0,0,0,0,0,0,339909,0.00,0.00
BASE,FX_CALL_OPTION,2027-02-05,11.000262,0,0,0,0,0,0,339909,0.00,0.00
