#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_USD,2016-02-05,0.000000,78594,0,0,0,78594,78594,78594,78593.93,78593.93
BASE,Swap_USD,2016-05-05,0.245902,224256,140601,0,0,793123,225378,225378,225377.55,225377.55
BASE,Swap_USD,2016-08-05,0.497268,314116,229521,0,0,1079315,317293,317293,271840.05,271840.05
BASE,Swap_USD,2016-11-07,0.754098,359228,290491,0,0,1207251,364738,364738,303479.09,303479.09
BASE,Swap_USD,2017-02-06,1.003002,395376,330433,0,0,1417678,403439,403439,328284.93,328284.93
BASE,Swap_USD,2017-05-05,1.244098,481226,315010,0,0,1483275,493439,493439,360290.49,360290.49
BASE,Swap_USD,2017-08-07,1.501632,497055,345225,0,0,1608469,512319,512319,386363.79,386363.79
BASE,Swap_USD,2017-11-06,1.750947,525032,380672,0,0,1678316,543864,543864,408790.00,408790.00
BASE,Swap_USD,2018-02-05,2.000262,518754,374137,0,0,1851400,540037,543864,425148.82,425625.76
BASE,Swap_USD,2018-05-07,2.249577,603837,336652,0,0,1854882,631763,631763,448047.38,448471.46
BASE,Swap_USD,2018-08-06,2.498892,617445,367216,0,0,1962359,649242,649242,468120.59,468502.36
BASE,Swap_USD,2018-11-05,2.748207,609704,372095,0,0,1991278,644319,649242,484105.18,484898.90
BASE,Swap_USD,2019-02-05,3.000262,616878,416576,0,0,1759450,655208,655208,498479.65,499206.69
BASE,Swap_USD,2019-05-06,3.246837,670257,357351,0,0,2039509,715436,715436,514956.01,515627.83
BASE,Swap_USD,2019-08-05,3.496152,669428,387168,0,0,1979219,718136,718136,529445.02,530068.94
BASE,Swap_USD,2019-11-05,3.748207,662778,450997,0,0,1933950,714610,718136,541896.73,542715.82
BASE,Swap_USD,2020-02-05,4.000000,664326,499962,0,0,1995870,719912,719912,553102.45,553869.98
BASE,Swap_USD,2020-05-05,4.245902,689961,403320,0,0,1931842,751402,751402,564586.95,565310.03
BASE,Swap_USD,2020-08-05,4.497268,669511,388132,0,0,1942720,732830,751402,573990.58,575711.26
